law_type,category,month_idx,month_name,current_month,ytd,same_month_prev_year,prev_month
IPC,PUBLIC JUSTICE (Sec.213 to 215 IPC/250 TO 252 BNS),1,January,1,1,1,0
IPC,"PUBLIC NUISANCE (Sec.291 and 510 IPC/293,355 BNS)",1,January,7,7,9,13
IPC,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289 IPC/271 to 273, 279,285,291 BNS)",1,January,203,203,265,242
IPC,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",1,January,101,101,84,89
IPC,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",1,January,1,1,1,0
IPC,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",1,January,221,221,166,310
IPC,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC/317(2) TO 317(5) BNS),1,January,1,1,0,0
IPC,SEDITION (Sec. 124A IPC/IN BNS Deleted),1,January,0,0,0,0
IPC,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),1,January,33,33,6,20
IPC,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",1,January,72,72,55,65
IPC,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),1,January,0,0,0,1
IPC,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",1,January,40,40,26,41
IPC,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",1,January,1,1,0,0
IPC,"OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC/81,84 BNS)",1,January,4,4,4,5
IPC,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC/98,99 BNS)",1,January,0,0,0,0
IPC,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC/346-350(2) BNS),1,January,0,0,0,0
IPC,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),1,January,0,0,4,1
IPC,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),1,January,0,0,0,1
IPC,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",1,January,0,0,0,0
IPC,Attempting to commit offences (Sec.511 IPC/62 BNS),1,January,14,14,18,18
IPC,ILLEGAL DETENTION (Sec.342 IPC/127(2) BNS),1,January,0,0,0,0
IPC,FALSE EVIDENCE (Sec.191 to 205 IPC/227-242 BNS),1,January,1,1,0,1
IPC,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC/93 BNS),1,January,5,5,5,9
IPC,OF ABETMENT (Sec.107 to 120 IPC/45-60 BNS),1,January,2,2,0,0
IPC,"FAILURE TO APPEAR TO COURT (Sec.174A, 229A IPC/209,269 BNS)",1,January,99,99,39,194
IPC,Concealment of birth by secret disposal of Child,1,January,3,3,3,8
IPC,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,1,January,1,1,1,3
IPC,Disobedience to Order Promulgated by Public/Servant,1,January,3,3,0,1
IPC,Human Trafficking,1,January,3,3,2,1
IPC,Aadhaar Act,1,January,0,0,0,0
IPC,Giving false information respecting an offence committed,1,January,0,0,0,0
SLL,ANTIQUES (CULTURAL PROPERTY),1,January,3,3,0,5
SLL,ARMS ACT 1959,1,January,1,1,1,1
SLL,ARMS ACT 1960,1,January,14,14,7,8
SLL,ARMS ACT 1961,1,January,0,0,0,0
SLL,ARMS ACT 1962,1,January,8,8,5,3
SLL,ARMS ACT 1963,1,January,1,1,0,0
SLL,ARMS ACT 1964,1,January,3,3,7,1
SLL,ARMS ACT 1965,1,January,1,1,0,1
SLL,ARMS ACT 1966,1,January,7,7,3,3
SLL,ANIMAL,1,January,31,31,21,33
SLL,CINEMATOGRAPHY ACT 1952,1,January,0,0,0,0
SLL,CINEMATOGRAPHY ACT 1953,1,January,0,0,0,0
SLL,CONSUMER,1,January,39,39,46,21
SLL,COPY RIGHT ACT 1957,1,January,20,20,13,9
SLL,COPY RIGHT ACT 1958,1,January,9,9,12,5
SLL,CIVIL RIGHTS,1,January,0,0,0,1
SLL,SCHEDULED CASTE AND THE SCHEDULED TRIBES,1,January,172,172,200,172
SLL,CHILDREN ACT,1,January,33,33,30,26
SLL,PREVENTION OF CORRUPTION ACT 1988,1,January,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1989,1,January,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1990,1,January,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1991,1,January,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1992,1,January,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1993,1,January,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1994,1,January,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1995,1,January,0,0,0,0
SLL,CUSTOMS,1,January,0,0,0,0
SLL,Explosives,1,January,11,11,10,6
SLL,FOREIGN EXCHANGE,1,January,0,0,0,0
SLL,FOREIGNER,1,January,3,3,0,3
SLL,FOREST,1,January,2,2,0,0
SLL,HIJACKING,1,January,0,0,0,0
SLL,IMMORAL TRAFFIC,1,January,30,30,32,19
SLL,BONDED LABOUR SYSTEM,1,January,1,1,0,0
SLL,INDIAN MOTOR VEHICLE,1,January,7,7,1,2
SLL,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,1,January,428,428,282,652
SLL,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,1,January,0,0,0,0
SLL,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,1,January,0,0,0,0
SLL,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,1,January,0,0,0,0
SLL,KARNATAKA POLICE ACT 1963,1,January,494,494,466,1039
SLL,KARNATAKA POLICE ACT 1964,1,January,481,481,481,486
SLL,KARNATAKA POLICE ACT 1965,1,January,21,21,13,20
SLL,KARNATAKA POLICE ACT 1966,1,January,22,22,12,16
SLL,KARNATAKA POLICE ACT 1967,1,January,64,64,56,23
SLL,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,1,January,7,7,11,9
SLL,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",1,January,0,0,0,0
SLL,OFFICIAL SECURITY RELATED ACTS,1,January,0,0,0,0
SLL,PREVENTION OF TERRORISM ACT (POTA),1,January,0,0,0,0
SLL,RAILWAYS ACT,1,January,0,0,0,0
SLL,UNLAWFUL ACTIVITIES (Prevention) Act 1967,1,January,0,0,0,0
SLL,CRIMES RELATED TO WOMEN,1,January,119,119,223,151
SLL,INDIAN LUNACY ACT,1,January,0,0,0,0
SLL,INDIAN ELECTRICITY ACT,1,January,1,1,0,1
SLL,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",1,January,90,90,43,208
SLL,KARNATAKA STATE LOCAL ACTS,1,January,745,745,506,1597
SLL,CYBER CRIME (INFORMATION TECHNOLOGY ACT),1,January,1401,1401,1948,1520
SLL,NATIONAL SECURITY ACT,1,January,0,0,0,0
SLL,POCSO,1,January,304,304,348,319
WOMEN,Rape (Sec. 376 IPC),1,January,65,65,53,58
WOMEN,Outraging modesty (Molestation) (sec.354 IPC),1,January,457,457,533,423
WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),1,January,7,7,9,7
WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),1,January,33,33,6,20
WOMEN,Murder for Dowry - by burning (Sec.302 IPC),1,January,0,0,0,0
WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",1,January,0,0,0,1
WOMEN,Murder for other reasons,1,January,34,34,28,32
WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),1,January,0,0,0,0
WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),1,January,1,1,7,1
WOMEN,Attempt to Commit murder for other reasons,1,January,101,101,51,61
WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",1,January,0,0,0,0
WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),1,January,11,11,5,6
WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),1,January,252,252,224,212
WOMEN,Abetment of Suicide (Sec.306 IPC),1,January,15,15,12,10
WOMEN,Immoral Traffic (prevention) Act.,1,January,30,30,32,19
WOMEN,Indecent Representation of Women(Prohibition) Act-1986,1,January,0,0,0,0
WOMEN,Pornography,1,January,0,0,0,0
WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),1,January,6,6,8,8
WOMEN,Offences related to Marriage,1,January,4,4,4,4
WOMEN,Cyber Crimes,1,January,397,397,619,530
CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",1,January,1,1,0,0
CHILDREN,Rape on Minor,1,January,0,0,0,0
CHILDREN,Exposure & abandonment (Sec. 317 IPC),1,January,5,5,5,9
CHILDREN,Kidnapping & Abduction of Children,1,January,351,351,324,308
CHILDREN,For Ransom - of Children,1,January,3,3,0,1
CHILDREN,of Children - for begging,1,January,0,0,0,0
CHILDREN,of Girls - Immoral Purpose,1,January,0,0,0,0
CHILDREN,With intent to Steal from Child,1,January,0,0,0,0
CHILDREN,Lawful Guardianship,1,January,0,0,0,0
CHILDREN,Procuration of Minor Girls - For Prostitution,1,January,0,0,0,0
CHILDREN,Procuration of Minor Girls - Importing of Girl,1,January,0,0,0,0
CHILDREN,Procuration of Minor Girls - For Other Purposes,1,January,3,3,1,2
CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),1,January,0,0,0,0
CHILDREN,The Prohibition of Child Marriage Act - 2006,1,January,11,11,8,10
CHILDREN,POCSO Act,1,January,304,304,348,319
CHILDREN,Death of Children due to miscarriage,1,January,0,0,3,1
CHILDREN,Juvenile Justice Act,1,January,12,12,9,13
CHILDREN,Child Labour (Pro.& Reg.) Act,1,January,10,10,13,3
CHILDREN,Probation of Offenders Act,1,January,0,0,0,0
SCST,Murder,1,January,6,6,11,11
SCST,Rape,1,January,8,8,6,10
SCST,Kidnapping,1,January,4,4,4,1
SCST,Offences under the Protection of Civil Rights Act.,1,January,0,0,0,2
SCST,Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),1,January,154,154,179,148
IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",2,February,101,202,119,101
IPC,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),2,February,259,548,224,289
IPC,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),2,February,11,19,15,8
IPC,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),2,February,3,8,5,5
IPC,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",2,February,77,142,58,65
IPC,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",2,February,388,719,342,331
IPC,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",2,February,18,38,27,20
IPC,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",2,February,79,176,171,97
IPC,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",2,February,312,627,354,315
IPC,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",2,February,73,167,99,94
IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),2,February,1644,3481,2006,1837
IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",2,February,271,534,289,263
IPC,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC/147 TO 158 BNS)",2,February,0,0,0,0
IPC,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC/196, 197 & 353 BNS",2,February,6,9,8,3
IPC,CRIMINAL BREACH OF TRUST (Sec. 406 to 409 IPC/316(2) to 316(5) BNS),2,February,60,112,55,52
IPC,"CHEATING (Sec.417 to 420 IPC/318(2)to 318(4), 319(2) BNS)",2,February,457,972,606,515
IPC,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",2,February,0,4,4,4
IPC,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343,
344 BNS)",2,February,49,108,48,59
IPC,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",2,February,1202,2508,1478,1306
IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",2,February,3,5,0,2
IPC,AFFRAY (Sec. 160 IPC/194(2) BNS),2,February,0,0,0,0
IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",2,February,31,48,34,17
IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",2,February,2,5,6,3
IPC,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),2,February,20,42,32,22
IPC,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC/61(2),148 BNS)",2,February,3,4,0,1
IPC,CRIMINAL INTIMIDATION (Sec. 504 to 508 IPC/352 TO 354 BNS),2,February,244,475,197,231
IPC,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",2,February,0,2,2,2
IPC,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),2,February,223,462,219,239
IPC,CRUELTY BY HUSBAND (Sec. 498(A) IPC/85 BNS),2,February,217,455,286,238
IPC,DOWRY DEATHS (Sec.304(B) IPC/80 BNS),2,February,9,20,14,11
IPC,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),2,February,20,37,27,17
IPC,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC/106 BNS),2,February,930,1943,1042,1013
IPC,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC/281,125(a),125(b) BNS)",2,February,2628,5481,2747,2853
IPC,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC/88,89,90 BNS)",2,February,0,0,4,0
IPC,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",2,February,0,0,0,0
IPC,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC/262,263,265 BNS)",2,February,1,4,7,3
IPC,"IMPERSONATION (Sec.170, 171 IPC/204,205 BNS)",2,February,2,2,2,0
IPC,"MISCHIEF (Sec.427 to 440 except 434, 435, 436, 438 IPC/324(4) TO 324(6) BNS)",2,February,47,76,36,29
IPC,MOLESTATION (Sec.354 IPC/74 BNS),2,February,446,900,546,454
IPC,POISONING-PROFESSIONAL (Sec. 328 IPC/123 BNS),2,February,2,4,1,2
IPC,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),2,February,1,2,1,1
IPC,PUBLIC JUSTICE (Sec.213 to 215 IPC/250 TO 252 BNS),2,February,0,1,1,1
IPC,"PUBLIC NUISANCE (Sec.291 and 510 IPC/293,355 BNS)",2,February,10,17,10,7
IPC,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289 IPC/271 to 273, 279,285,291 BNS)",2,February,311,514,429,203
IPC,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC/217-223,121(1),121(2), 132 BNS)",2,February,104,206,89,102
IPC,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 129, 167, 218, 221, 222 IPC/156,157,201,256,259,260 BNS)",2,February,0,1,2,1
IPC,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC/282 to 291,125 to 125(b) except 285 BNS)",2,February,221,444,310,223
IPC,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC/317(2) TO 317(5) BNS),2,February,0,1,0,1
IPC,SEDITION (Sec. 124A IPC/IN BNS Deleted),2,February,0,0,0,0
IPC,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC/79 BNS),2,February,46,78,9,32
IPC,"SUICIDE (Sec.305, 306, 309 IPC/107,108 BNS)",2,February,64,136,59,72
IPC,UNNATURAL SEX (Sec.377 IPC/IN BNS Deleted),2,February,0,0,0,0
IPC,"WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC/126(2),127(2)-127(8) BNS)",2,February,40,81,35,41
IPC,"INFANTICIDE (Sec.315, 316 IPC/91,92 BNS)",2,February,1,2,0,1
IPC,"OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC/81,84 BNS)",2,February,3,7,6,4
IPC,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC/98,99 BNS)",2,February,0,0,0,0
IPC,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC/346-350(2) BNS),2,February,0,0,0,0
IPC,DEFAMATION (Sec.500 to 502 IPC/350(2)-356(4) BNS),2,February,0,0,1,0
IPC,ELECTION(Sec.171(E) to 171(1) IPC/173-177 BNS),2,February,0,0,4,0
IPC,"SLAVERY (Sec.370, 371, 374 IPC/143,145,146 BNS)",2,February,0,0,0,0
IPC,Attempting to commit offences (Sec.511 IPC/62 BNS),2,February,21,34,20,13
IPC,ILLEGAL DETENTION (Sec.342 IPC/127(2) BNS),2,February,1,1,0,0
IPC,FALSE EVIDENCE (Sec.191 to 205 IPC/227-242 BNS),2,February,0,0,0,0
IPC,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC/93 BNS),2,February,93,199,48,106
IPC,Concealment of birth by secret disposal of Child,2,February,2,5,3,3
IPC,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,2,February,0,1,1,1
IPC,Disobedience to Order Promulgated by Public/Servant,2,February,6,14,9,8
IPC,Giving false information respecting an offence committed,2,February,2,2,0,0
SLL,ANTIQUES (CULTURAL PROPERTY),2,February,0,0,0,0
SLL,ARMS ACT 1959,2,February,1,1,2,0
SLL,ARMS ACT 1960,2,February,17,32,7,15
SLL,ARMS ACT 1961,2,February,0,0,0,0
SLL,ARMS ACT 1962,2,February,9,16,1,7
SLL,ARMS ACT 1963,2,February,0,1,0,1
SLL,ARMS ACT 1964,2,February,4,7,1,3
SLL,ARMS ACT 1965,2,February,3,4,0,1
SLL,ARMS ACT 1966,2,February,2,9,1,7
SLL,ANIMAL,2,February,24,55,23,31
SLL,CINEMATOGRAPHY ACT 1952,2,February,0,0,1,0
SLL,CINEMATOGRAPHY ACT 1953,2,February,0,0,0,0
SLL,CONSUMER,2,February,33,72,42,39
SLL,COPY RIGHT ACT 1957,2,February,17,37,10,20
SLL,COPY RIGHT ACT 1958,2,February,7,17,5,10
SLL,CIVIL RIGHTS,2,February,0,0,0,0
SLL,SCHEDULED CASTE AND THE SCHEDULED TRIBES,2,February,183,361,208,178
SLL,CHILDREN ACT,2,February,30,64,21,34
SLL,PREVENTION OF CORRUPTION ACT 1988,2,February,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1989,2,February,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1990,2,February,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1991,2,February,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1992,2,February,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1993,2,February,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1994,2,February,0,0,0,0
SLL,PREVENTION OF CORRUPTION ACT 1995,2,February,0,0,0,0
SLL,CUSTOMS,2,February,0,0,0,0
SLL,Explosives,2,February,6,17,9,11
SLL,FOREIGN EXCHANGE,2,February,0,0,0,0
SLL,FOREIGNER,2,February,2,5,0,3
SLL,FOREST,2,February,0,2,3,2
SLL,HIJACKING,2,February,0,0,0,0
SLL,IMMORAL TRAFFIC,2,February,21,50,28,29
SLL,BONDED LABOUR SYSTEM,2,February,7,9,10,2
SLL,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,2,February,415,843,275,428
SLL,PASSPORT ACT,2,February,2,2,0,0
SLL,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,2,February,0,0,0,0
SLL,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,2,February,0,0,0,0
SLL,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,2,February,0,0,2,0
SLL,KARNATAKA POLICE ACT 1963,2,February,411,904,511,493
SLL,KARNATAKA POLICE ACT 1964,2,February,464,950,440,486
SLL,KARNATAKA POLICE ACT 1965,2,February,21,42,21,21
SLL,KARNATAKA POLICE ACT 1966,2,February,21,41,4,20
SLL,KARNATAKA POLICE ACT 1967,2,February,59,122,49,63
SLL,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,2,February,9,16,16,7
SLL,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",2,February,0,0,0,0
SLL,OFFICIAL SECURITY RELATED ACTS,2,February,0,0,0,0
SLL,PREVENTION OF TERRORISM ACT (POTA),2,February,0,0,0,0
SLL,UNLAWFUL ACTIVITIES (Prevention) Act 1967,2,February,0,0,0,0
SLL,CRIMES RELATED TO WOMEN,2,February,107,239,171,132
SLL,INDIAN LUNACY ACT,2,February,0,0,0,0
SLL,INDIAN ELECTRICITY ACT,2,February,2,3,1,1
SLL,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",2,February,158,248,83,90
SLL,KARNATAKA STATE LOCAL ACTS,2,February,753,1499,529,746
SLL,CYBER CRIME (INFORMATION TECHNOLOGY ACT),2,February,1173,2574,2040,1401
SLL,NATIONAL SECURITY ACT,2,February,0,0,0,0
SLL,POCSO,2,February,264,612,324,348
SLL,Aadhar Act,2,February,0,0,0,0
WOMEN,Rape (Sec. 376 IPC),2,February,77,142,58,55
WOMEN,Outraging modesty (Molestation) (sec.354 IPC),2,February,446,900,546,454
WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),2,February,6,12,9,6
WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),2,February,46,78,9,32
