link_id,source,target,relation,weight,synthetic
SYN-LNK-00036,SYN-OFF-0090,SYN-OFF-0001,co_offender,4,true
SYN-LNK-00037,SYN-OFF-0168,SYN-OFF-0096,co_offender,2,true
SYN-LNK-00038,SYN-OFF-0168,SYN-OFF-0123,co_offender,5,true
SYN-LNK-00039,SYN-OFF-0096,SYN-OFF-0119,co_offender,5,true
SYN-LNK-00040,SYN-OFF-0215,SYN-OFF-0017,co_offender,5,true
SYN-LNK-00041,SYN-OFF-0215,SYN-OFF-0083,co_offender,3,true
SYN-LNK-00042,SYN-OFF-0215,SYN-OFF-0123,co_offender,3,true
SYN-LNK-00043,SYN-OFF-0215,SYN-OFF-0001,co_offender,5,true
SYN-LNK-00044,SYN-OFF-0119,SYN-OFF-0083,co_offender,1,true
SYN-LNK-00045,SYN-OFF-0119,SYN-OFF-0123,co_offender,4,true
SYN-LNK-00046,SYN-OFF-0017,SYN-OFF-0083,co_offender,3,true
SYN-LNK-00047,SYN-OFF-0017,SYN-OFF-0001,co_offender,2,true
SYN-LNK-00048,SYN-OFF-0123,SYN-OFF-0001,co_offender,5,true
SYN-LNK-00049,SYN-OFF-0207,SYN-OFF-0117,co_offender,4,true
SYN-LNK-00050,SYN-OFF-0117,SYN-OFF-0200,co_offender,4,true
SYN-LNK-00051,SYN-OFF-0219,SYN-OFF-0172,co_offender,3,true
SYN-LNK-00052,SYN-OFF-0219,SYN-OFF-0039,co_offender,2,true
SYN-LNK-00053,SYN-OFF-0219,SYN-OFF-0104,co_offender,2,true
SYN-LNK-00054,SYN-OFF-0219,SYN-OFF-0020,co_offender,2,true
SYN-LNK-00055,SYN-OFF-0172,SYN-OFF-0148,co_offender,1,true
SYN-LNK-00056,SYN-OFF-0172,SYN-OFF-0104,co_offender,5,true
SYN-LNK-00057,SYN-OFF-0039,SYN-OFF-0049,co_offender,1,true
SYN-LNK-00058,SYN-OFF-0039,SYN-OFF-0104,co_offender,1,true
SYN-LNK-00059,SYN-OFF-0039,SYN-OFF-0052,co_offender,3,true
SYN-LNK-00060,SYN-OFF-0039,SYN-OFF-0020,co_offender,2,true
SYN-LNK-00061,SYN-OFF-0148,SYN-OFF-0104,co_offender,1,true
SYN-LNK-00062,SYN-OFF-0148,SYN-OFF-0156,co_offender,4,true
SYN-LNK-00063,SYN-OFF-0148,SYN-OFF-0020,co_offender,1,true
SYN-LNK-00064,SYN-OFF-0049,SYN-OFF-0052,co_offender,5,true
SYN-LNK-00065,SYN-OFF-0156,SYN-OFF-0052,co_offender,5,true
SYN-LNK-00066,SYN-OFF-0086,SYN-OFF-0110,co_offender,4,true
SYN-LNK-00067,SYN-OFF-0086,SYN-OFF-0077,co_offender,1,true
SYN-LNK-00068,SYN-OFF-0086,SYN-OFF-0213,co_offender,5,true
SYN-LNK-00069,SYN-OFF-0086,SYN-OFF-0139,co_offender,4,true
SYN-LNK-00070,SYN-OFF-0086,SYN-OFF-0033,co_offender,2,true
SYN-LNK-00071,SYN-OFF-0110,SYN-OFF-0077,co_offender,5,true
SYN-LNK-00072,SYN-OFF-0110,SYN-OFF-0033,co_offender,2,true
SYN-LNK-00073,SYN-OFF-0077,SYN-OFF-0205,co_offender,3,true
SYN-LNK-00074,SYN-OFF-0077,SYN-OFF-0033,co_offender,1,true
SYN-LNK-00075,SYN-OFF-0213,SYN-OFF-0139,co_offender,5,true
SYN-LNK-00076,SYN-OFF-0213,SYN-OFF-0033,co_offender,4,true
SYN-LNK-00077,SYN-OFF-0128,SYN-OFF-0144,co_offender,3,true
SYN-LNK-00078,SYN-OFF-0128,SYN-OFF-0145,co_offender,5,true
SYN-LNK-00079,SYN-OFF-0128,SYN-OFF-0068,co_offender,1,true
SYN-LNK-00080,SYN-OFF-0016,SYN-OFF-0035,co_offender,3,true
SYN-LNK-00081,SYN-OFF-0016,SYN-OFF-0145,co_offender,1,true
SYN-LNK-00082,SYN-OFF-0016,SYN-OFF-0068,co_offender,5,true
SYN-LNK-00083,SYN-OFF-0204,SYN-OFF-0144,co_offender,5,true
SYN-LNK-00084,SYN-OFF-0194,SYN-OFF-0144,co_offender,1,true
SYN-LNK-00085,SYN-OFF-0194,SYN-OFF-0145,co_offender,5,true
SYN-LNK-00086,SYN-OFF-0194,SYN-OFF-0068,co_offender,1,true
SYN-LNK-00087,SYN-OFF-0144,SYN-OFF-0035,co_offender,1,true
SYN-LNK-00088,SYN-OFF-0144,SYN-OFF-0145,co_offender,5,true
SYN-LNK-00089,SYN-OFF-0144,SYN-OFF-0074,co_offender,3,true
SYN-LNK-00090,SYN-OFF-0035,SYN-OFF-0145,co_offender,3,true
SYN-LNK-00091,SYN-OFF-0035,SYN-OFF-0074,co_offender,1,true
SYN-LNK-00092,SYN-OFF-0145,SYN-OFF-0074,co_offender,4,true
SYN-LNK-00093,SYN-OFF-0074,SYN-OFF-0068,co_offender,3,true
SYN-LNK-00094,SYN-OFF-0046,SYN-OFF-0165,co_offender,1,true
SYN-LNK-00095,SYN-OFF-0046,SYN-OFF-0093,co_offender,3,true
SYN-LNK-00096,SYN-OFF-0046,SYN-OFF-0149,co_offender,2,true
SYN-LNK-00097,SYN-OFF-0059,SYN-OFF-0165,co_offender,1,true
SYN-LNK-00098,SYN-OFF-0059,SYN-OFF-0093,co_offender,4,true
SYN-LNK-00099,SYN-OFF-0059,SYN-OFF-0029,co_offender,1,true
SYN-LNK-00100,SYN-OFF-0059,SYN-OFF-0149,co_offender,3,true
SYN-LNK-00101,SYN-OFF-0165,SYN-OFF-0093,co_offender,3,true
SYN-LNK-00102,SYN-OFF-0165,SYN-OFF-0149,co_offender,1,true
SYN-LNK-00103,SYN-OFF-0093,SYN-OFF-0202,co_offender,1,true
SYN-LNK-00104,SYN-OFF-0093,SYN-OFF-0149,co_offender,1,true
SYN-LNK-00105,SYN-OFF-0125,SYN-OFF-0089,co_offender,3,true
SYN-LNK-00106,SYN-OFF-0125,SYN-OFF-0003,co_offender,4,true
SYN-LNK-00107,SYN-OFF-0193,SYN-OFF-0179,co_offender,2,true
SYN-LNK-00108,SYN-OFF-0193,SYN-OFF-0034,co_offender,2,true
SYN-LNK-00109,SYN-OFF-0193,SYN-OFF-0056,co_offender,3,true
SYN-LNK-00110,SYN-OFF-0193,SYN-OFF-0089,co_offender,4,true
SYN-LNK-00111,SYN-OFF-0190,SYN-OFF-0023,co_offender,2,true
SYN-LNK-00112,SYN-OFF-0190,SYN-OFF-0056,co_offender,1,true
SYN-LNK-00113,SYN-OFF-0190,SYN-OFF-0003,co_offender,4,true
SYN-LNK-00114,SYN-OFF-0179,SYN-OFF-0034,co_offender,1,true
SYN-LNK-00115,SYN-OFF-0179,SYN-OFF-0023,co_offender,1,true
SYN-LNK-00116,SYN-OFF-0179,SYN-OFF-0056,co_offender,5,true
SYN-LNK-00117,SYN-OFF-0179,SYN-OFF-0003,co_offender,1,true
SYN-LNK-00118,SYN-OFF-0034,SYN-OFF-0023,co_offender,1,true
SYN-LNK-00119,SYN-OFF-0034,SYN-OFF-0056,co_offender,3,true
SYN-LNK-00120,SYN-OFF-0034,SYN-OFF-0003,co_offender,5,true
SYN-LNK-00121,SYN-OFF-0056,SYN-OFF-0089,co_offender,1,true
SYN-LNK-00122,SYN-OFF-0056,SYN-OFF-0003,co_offender,4,true
SYN-LNK-00123,SYN-OFF-0089,SYN-OFF-0003,co_offender,1,true
SYN-LNK-00124,SYN-OFF-0132,SYN-OFF-0057,associate,1,true
SYN-LNK-00125,SYN-OFF-0206,SYN-OFF-0102,associate,1,true
SYN-LNK-00126,SYN-OFF-0028,SYN-OFF-0090,associate,1,true
SYN-LNK-00127,SYN-OFF-0194,SYN-OFF-0098,associate,1,true
SYN-LNK-00128,SYN-OFF-0173,SYN-OFF-0169,associate,1,true
SYN-LNK-00129,SYN-OFF-0001,SYN-OFF-0176,associate,1,true
SYN-LNK-00130,SYN-OFF-0073,SYN-OFF-0064,associate,1,true
SYN-LNK-00131,SYN-OFF-0064,SYN-OFF-0077,associate,1,true
SYN-LNK-00132,SYN-OFF-0006,SYN-OFF-0124,associate,1,true
SYN-LNK-00133,SYN-OFF-0183,SYN-OFF-0011,associate,1,true
SYN-LNK-00134,SYN-OFF-0075,SYN-OFF-0066,associate,1,true
SYN-LNK-00135,SYN-OFF-0164,SYN-OFF-0069,associate,1,true
SYN-LNK-00136,SYN-OFF-0167,SYN-OFF-0038,associate,1,true
SYN-LNK-00137,SYN-OFF-0101,SYN-OFF-0164,associate,1,true
SYN-LNK-00138,SYN-OFF-0104,SYN-OFF-0013,associate,1,true
SYN-LNK-00139,SYN-OFF-0101,SYN-OFF-0181,associate,1,true
SYN-LNK-00140,SYN-OFF-0202,SYN-OFF-0022,associate,1,true
SYN-LNK-00141,SYN-OFF-0191,SYN-OFF-0203,associate,1,true
SYN-LNK-00142,SYN-OFF-0084,SYN-OFF-0179,associate,1,true
SYN-LNK-00143,SYN-OFF-0025,SYN-OFF-0003,associate,1,true
SYN-LNK-00144,SYN-OFF-0122,SYN-OFF-0159,associate,1,true
SYN-LNK-00145,SYN-OFF-0209,SYN-OFF-0146,associate,1,true
SYN-LNK-00146,SYN-OFF-0139,SYN-OFF-0066,associate,1,true
SYN-LNK-00147,SYN-OFF-0095,SYN-OFF-0052,associate,1,true
SYN-LNK-00148,SYN-OFF-0051,SYN-OFF-0078,associate,1,true
SYN-LNK-00149,SYN-OFF-0101,SYN-OFF-0211,associate,1,true
SYN-LNK-00150,SYN-OFF-0071,SYN-OFF-0072,associate,1,true
SYN-LNK-00151,SYN-OFF-0062,SYN-OFF-0041,associate,1,true
SYN-LNK-00152,SYN-OFF-0197,SYN-OFF-0139,associate,1,true
SYN-LNK-00153,SYN-OFF-0162,SYN-OFF-0070,associate,1,true
SYN-LNK-00154,SYN-OFF-0168,SYN-OFF-0021,associate,1,true
SYN-LNK-00155,SYN-OFF-0139,SYN-OFF-0163,associate,1,true
SYN-LNK-00156,SYN-OFF-0018,SYN-OFF-0011,associate,1,true
SYN-LNK-00157,SYN-OFF-0160,SYN-OFF-0212,associate,1,true
SYN-LNK-00158,SYN-OFF-0156,SYN-OFF-0044,associate,1,true
SYN-LNK-00159,SYN-OFF-0119,SYN-OFF-0036,associate,1,true
SYN-LNK-00160,SYN-OFF-0206,SYN-OFF-0177,associate,1,true
SYN-LNK-00161,SYN-OFF-0180,SYN-OFF-0092,associate,1,true
SYN-LNK-00162,SYN-OFF-0001,SYN-OFF-0063,associate,1,true
SYN-LNK-00163,SYN-OFF-0098,SYN-OFF-0004,associate,1,true
SYN-LNK-00164,SYN-OFF-0150,SYN-OFF-0098,associate,1,true
SYN-LNK-00165,SYN-OFF-0042,SYN-OFF-0181,associate,1,true
SYN-LNK-00166,SYN-OFF-0035,SYN-OFF-0090,associate,1,true
SYN-LNK-00167,SYN-OFF-0080,SYN-OFF-0093,associate,1,true
SYN-LNK-00168,SYN-OFF-0017,SYN-OFF-0069,associate,1,true
SYN-LNK-00169,SYN-OFF-0156,SYN-OFF-0007,associate,1,true
SYN-LNK-00170,SYN-OFF-0187,SYN-OFF-0062,associate,1,true
SYN-LNK-00171,SYN-OFF-0021,SYN-OFF-0073,associate,1,true
SYN-LNK-00172,SYN-OFF-0056,SYN-OFF-0066,associate,1,true
SYN-LNK-00173,SYN-OFF-0104,SYN-OFF-0032,associate,1,true
SYN-LNK-00174,SYN-OFF-0120,SYN-OFF-0149,associate,1,true
SYN-LNK-00175,SYN-OFF-0112,SYN-OFF-0086,associate,1,true
SYN-LNK-00176,SYN-OFF-0114,SYN-OFF-0203,associate,1,true
SYN-LNK-00177,SYN-OFF-0004,SYN-OFF-0005,associate,1,true
SYN-LNK-00178,SYN-OFF-0044,SYN-OFF-0104,associate,1,true
SYN-LNK-00179,SYN-OFF-0037,SYN-OFF-0020,associate,1,true
SYN-LNK-00180,SYN-OFF-0214,SYN-OFF-0082,associate,1,true
SYN-LNK-00181,SYN-OFF-0171,SYN-OFF-0216,associate,1,true
SYN-LNK-00182,SYN-OFF-0044,SYN-OFF-0150,associate,1,true
SYN-LNK-00183,SYN-OFF-0216,SYN-OFF-0059,associate,1,true
SYN-LNK-00184,SYN-OFF-0138,SYN-OFF-0035,associate,1,true
SYN-LNK-00185,SYN-OFF-0149,SYN-OFF-0187,associate,1,true
SYN-LNK-00186,SYN-OFF-0188,SYN-OFF-0108,associate,1,true
SYN-LNK-00187,SYN-OFF-0085,SYN-OFF-0172,associate,1,true
SYN-LNK-00188,SYN-OFF-0066,SYN-OFF-0132,associate,1,true
SYN-LNK-00189,SYN-OFF-0094,SYN-OFF-0091,associate,1,true
SYN-LNK-00190,SYN-OFF-0075,SYN-OFF-0060,associate,1,true
SYN-LNK-00191,SYN-OFF-0113,SYN-OFF-0011,associate,1,true
SYN-LNK-00192,SYN-OFF-0022,SYN-OFF-0090,associate,1,true
SYN-LNK-00193,SYN-OFF-0026,SYN-OFF-0218,associate,1,true
SYN-LNK-00194,SYN-OFF-0062,SYN-OFF-0074,associate,1,true
SYN-LNK-00195,SYN-OFF-0178,SYN-OFF-0148,associate,1,true
SYN-LNK-00196,SYN-OFF-0175,SYN-OFF-0139,associate,1,true
SYN-LNK-00197,SYN-OFF-0104,SYN-OFF-0205,associate,1,true
SYN-LNK-00198,SYN-OFF-0207,SYN-OFF-0192,associate,1,true
SYN-LNK-00199,SYN-OFF-0151,SYN-OFF-0207,associate,1,true
SYN-LNK-00200,SYN-OFF-0191,SYN-OFF-0025,associate,1,true
SYN-LNK-00201,SYN-OFF-0001,SYN-OFF-0099,associate,1,true
SYN-LNK-00202,SYN-OFF-0170,SYN-OFF-0086,associate,1,true
SYN-LNK-00203,SYN-OFF-0218,SYN-OFF-0205,associate,1,true
SYN-LNK-00204,SYN-OFF-0206,SYN-OFF-0055,associate,1,true
SYN-LNK-00205,SYN-OFF-0131,SYN-OFF-0182,associate,1,true
SYN-LNK-00206,SYN-OFF-0092,SYN-OFF-0089,associate,1,true
SYN-LNK-00207,SYN-OFF-0046,SYN-OFF-0023,associate,1,true
SYN-LNK-00208,SYN-OFF-0093,SYN-OFF-0175,associate,1,true
SYN-LNK-00209,SYN-OFF-0085,SYN-OFF-0087,associate,1,true
SYN-LNK-00210,SYN-OFF-0089,SYN-OFF-0038,associate,1,true
SYN-LNK-00211,SYN-OFF-0094,SYN-OFF-0057,associate,1,true
SYN-LNK-00212,SYN-OFF-0146,SYN-OFF-0180,associate,1,true
SYN-LNK-00213,SYN-OFF-0054,SYN-OFF-0117,associate,1,true
SYN-LNK-00214,SYN-OFF-0184,SYN-OFF-0117,associate,1,true
SYN-LNK-00215,SYN-OFF-0088,SYN-OFF-0051,associate,1,true
SYN-LNK-00216,SYN-OFF-0172,SYN-OFF-0101,associate,1,true
SYN-LNK-00217,SYN-OFF-0136,SYN-OFF-0040,associate,1,true
SYN-LNK-00218,SYN-OFF-0105,SYN-OFF-0138,associate,1,true
SYN-LNK-00219,SYN-OFF-0029,SYN-OFF-0126,associate,1,true
SYN-LNK-00220,SYN-OFF-0065,SYN-OFF-0062,associate,1,true
SYN-LNK-00221,SYN-OFF-0141,SYN-OFF-0189,associate,1,true
SYN-LNK-00222,SYN-OFF-0030,SYN-OFF-0210,associate,1,true
SYN-LNK-00223,SYN-OFF-0061,SYN-OFF-0028,associate,1,true
SYN-LNK-00224,SYN-OFF-0162,SYN-OFF-0058,associate,1,true
SYN-LNK-00225,SYN-OFF-0143,SYN-OFF-0203,associate,1,true
SYN-LNK-00226,SYN-OFF-0103,SYN-OFF-0137,associate,1,true
SYN-LNK-00227,SYN-OFF-0093,SYN-OFF-0005,associate,1,true
SYN-LNK-00228,SYN-OFF-0100,SYN-OFF-0198,associate,1,true
SYN-LNK-00229,SYN-OFF-0059,SYN-OFF-0129,associate,1,true
SYN-LNK-00230,SYN-OFF-0127,SYN-OFF-0080,associate,1,true
SYN-LNK-00231,SYN-OFF-0006,SYN-OFF-0106,associate,1,true
SYN-LNK-00232,SYN-OFF-0034,SYN-OFF-0149,associate,1,true
SYN-LNK-00233,SYN-OFF-0103,SYN-OFF-0037,associate,1,true
SYN-LNK-00234,SYN-OFF-0220,SYN-OFF-0197,associate,1,true
SYN-LNK-00235,SYN-OFF-0144,SYN-OFF-0165,associate,1,true
SYN-LNK-00236,SYN-OFF-0034,SYN-OFF-0098,associate,1,true
SYN-LNK-00237,SYN-OFF-0154,SYN-OFF-0044,associate,1,true
SYN-LNK-00238,SYN-OFF-0039,SYN-OFF-0168,associate,1,true
SYN-LNK-00239,SYN-OFF-0213,SYN-OFF-0069,associate,1,true
SYN-LNK-00240,SYN-OFF-0065,SYN-OFF-0178,associate,1,true
SYN-LNK-00241,SYN-OFF-0200,SYN-OFF-0089,associate,1,true
SYN-LNK-00242,SYN-OFF-0113,SYN-OFF-0065,associate,1,true
SYN-LNK-00243,SYN-OFF-0214,SYN-OFF-0043,associate,1,true
SYN-LNK-00244,SYN-OFF-0003,SYN-ACC-0022,controls_account,2,true
SYN-LNK-00245,SYN-OFF-0006,SYN-ACC-0016,controls_account,2,true
SYN-LNK-00246,SYN-OFF-0009,SYN-ACC-0080,controls_account,2,true
SYN-LNK-00247,SYN-OFF-0010,SYN-ACC-0040,controls_account,4,true
SYN-LNK-00248,SYN-OFF-0011,SYN-ACC-0087,controls_account,2,true
SYN-LNK-00249,SYN-OFF-0016,SYN-ACC-0021,controls_account,2,true
SYN-LNK-00250,SYN-OFF-0019,SYN-ACC-0033,controls_account,3,true
SYN-LNK-00251,SYN-OFF-0024,SYN-ACC-0039,controls_account,4,true
SYN-LNK-00252,SYN-OFF-0031,SYN-ACC-0072,controls_account,3,true
SYN-LNK-00253,SYN-OFF-0034,SYN-ACC-0035,controls_account,2,true
SYN-LNK-00254,SYN-OFF-0035,SYN-ACC-0023,controls_account,3,true
SYN-LNK-00255,SYN-OFF-0037,SYN-ACC-0077,controls_account,2,true
SYN-LNK-00256,SYN-OFF-0038,SYN-ACC-0052,controls_account,1,true
SYN-LNK-00257,SYN-OFF-0039,SYN-ACC-0007,controls_account,1,true
SYN-LNK-00258,SYN-OFF-0041,SYN-ACC-0047,controls_account,2,true
SYN-LNK-00259,SYN-OFF-0044,SYN-ACC-0046,controls_account,4,true
SYN-LNK-00260,SYN-OFF-0046,SYN-ACC-0088,controls_account,2,true
SYN-LNK-00261,SYN-OFF-0047,SYN-ACC-0039,controls_account,2,true
SYN-LNK-00262,SYN-OFF-0049,SYN-ACC-0015,controls_account,3,true
SYN-LNK-00263,SYN-OFF-0053,SYN-ACC-0067,controls_account,2,true
SYN-LNK-00264,SYN-OFF-0055,SYN-ACC-0077,controls_account,2,true
SYN-LNK-00265,SYN-OFF-0056,SYN-ACC-0013,controls_account,1,true
SYN-LNK-00266,SYN-OFF-0058,SYN-ACC-0069,controls_account,1,true
SYN-LNK-00267,SYN-OFF-0062,SYN-ACC-0048,controls_account,4,true
SYN-LNK-00268,SYN-OFF-0063,SYN-ACC-0064,controls_account,1,true
SYN-LNK-00269,SYN-OFF-0067,SYN-ACC-0084,controls_account,3,true
SYN-LNK-00270,SYN-OFF-0068,SYN-ACC-0052,controls_account,3,true
SYN-LNK-00271,SYN-OFF-0071,SYN-ACC-0009,controls_account,2,true
SYN-LNK-00272,SYN-OFF-0078,SYN-ACC-0050,controls_account,4,true
SYN-LNK-00273,SYN-OFF-0079,SYN-ACC-0064,controls_account,2,true
SYN-LNK-00274,SYN-OFF-0081,SYN-ACC-0073,controls_account,4,true
SYN-LNK-00275,SYN-OFF-0087,SYN-ACC-0037,controls_account,3,true
SYN-LNK-00276,SYN-OFF-0095,SYN-ACC-0074,controls_account,3,true
SYN-LNK-00277,SYN-OFF-0096,SYN-ACC-0042,controls_account,2,true
SYN-LNK-00278,SYN-OFF-0097,SYN-ACC-0014,controls_account,4,true
SYN-LNK-00279,SYN-OFF-0100,SYN-ACC-0004,controls_account,3,true
SYN-LNK-00280,SYN-OFF-0103,SYN-ACC-0073,controls_account,3,true
SYN-LNK-00281,SYN-OFF-0108,SYN-ACC-0021,controls_account,2,true
SYN-LNK-00282,SYN-OFF-0110,SYN-ACC-0036,controls_account,1,true
SYN-LNK-00283,SYN-OFF-0112,SYN-ACC-0063,controls_account,1,true
SYN-LNK-00284,SYN-OFF-0114,SYN-ACC-0057,controls_account,1,true
SYN-LNK-00285,SYN-OFF-0117,SYN-ACC-0002,controls_account,3,true
SYN-LNK-00286,SYN-OFF-0121,SYN-ACC-0025,controls_account,2,true
SYN-LNK-00287,SYN-OFF-0124,SYN-ACC-0053,controls_account,1,true
SYN-LNK-00288,SYN-OFF-0125,SYN-ACC-0043,controls_account,3,true
SYN-LNK-00289,SYN-OFF-0130,SYN-ACC-0010,controls_account,2,true
SYN-LNK-00290,SYN-OFF-0131,SYN-ACC-0062,controls_account,1,true
SYN-LNK-00291,SYN-OFF-0133,SYN-ACC-0075,controls_account,3,true
SYN-LNK-00292,SYN-OFF-0135,SYN-ACC-0061,controls_account,4,true
SYN-LNK-00293,SYN-OFF-0139,SYN-ACC-0062,controls_account,1,true
SYN-LNK-00294,SYN-OFF-0143,SYN-ACC-0001,controls_account,3,true
SYN-LNK-00295,SYN-OFF-0144,SYN-ACC-0010,controls_account,1,true
SYN-LNK-00296,SYN-OFF-0146,SYN-ACC-0039,controls_account,3,true
SYN-LNK-00297,SYN-OFF-0147,SYN-ACC-0036,controls_account,4,true
SYN-LNK-00298,SYN-OFF-0149,SYN-ACC-0031,controls_account,1,true
SYN-LNK-00299,SYN-OFF-0150,SYN-ACC-0072,controls_account,1,true
SYN-LNK-00300,SYN-OFF-0155,SYN-ACC-0049,controls_account,4,true
SYN-LNK-00301,SYN-OFF-0156,SYN-ACC-0085,controls_account,4,true
SYN-LNK-00302,SYN-OFF-0157,SYN-ACC-0012,controls_account,4,true
SYN-LNK-00303,SYN-OFF-0160,SYN-ACC-0059,controls_account,3,true
SYN-LNK-00304,SYN-OFF-0162,SYN-ACC-0064,controls_account,1,true
SYN-LNK-00305,SYN-OFF-0163,SYN-ACC-0056,controls_account,4,true
SYN-LNK-00306,SYN-OFF-0165,SYN-ACC-0045,controls_account,4,true
SYN-LNK-00307,SYN-OFF-0166,SYN-ACC-0010,controls_account,3,true
SYN-LNK-00308,SYN-OFF-0168,SYN-ACC-0068,controls_account,1,true
SYN-LNK-00309,SYN-OFF-0171,SYN-ACC-0088,controls_account,4,true
SYN-LNK-00310,SYN-OFF-0172,SYN-ACC-0028,controls_account,4,true
SYN-LNK-00311,SYN-OFF-0173,SYN-ACC-0006,controls_account,4,true
SYN-LNK-00312,SYN-OFF-0175,SYN-ACC-0021,controls_account,1,true
SYN-LNK-00313,SYN-OFF-0176,SYN-ACC-0043,controls_account,1,true
SYN-LNK-00314,SYN-OFF-0177,SYN-ACC-0058,controls_account,2,true
SYN-LNK-00315,SYN-OFF-0178,SYN-ACC-0025,controls_account,4,true
SYN-LNK-00316,SYN-OFF-0180,SYN-ACC-0009,controls_account,3,true
SYN-LNK-00317,SYN-OFF-0181,SYN-ACC-0057,controls_account,3,true
SYN-LNK-00318,SYN-OFF-0182,SYN-ACC-0042,controls_account,3,true
SYN-LNK-00319,SYN-OFF-0185,SYN-ACC-0073,controls_account,2,true
SYN-LNK-00320,SYN-OFF-0189,SYN-ACC-0046,controls_account,1,true
SYN-LNK-00321,SYN-OFF-0190,SYN-ACC-0049,controls_account,3,true
SYN-LNK-00322,SYN-OFF-0191,SYN-ACC-0040,controls_account,2,true
SYN-LNK-00323,SYN-OFF-0194,SYN-ACC-0006,controls_account,3,true
SYN-LNK-00324,SYN-OFF-0203,SYN-ACC-0048,controls_account,2,true
SYN-LNK-00325,SYN-OFF-0210,SYN-ACC-0011,controls_account,3,true
SYN-LNK-00326,SYN-OFF-0213,SYN-ACC-0039,controls_account,4,true
SYN-LNK-00327,SYN-OFF-0214,SYN-ACC-0059,controls_account,2,true
SYN-LNK-00328,SYN-OFF-0141,SYN-ACC-0050,uses_account,3,true
SYN-LNK-00329,SYN-OFF-0022,SYN-ACC-0050,uses_account,1,true
SYN-LNK-00330,SYN-OFF-0026,SYN-ACC-0050,uses_account,3,true
SYN-LNK-00331,SYN-OFF-0048,SYN-ACC-0050,uses_account,3,true
SYN-LNK-00332,SYN-OFF-0157,SYN-ACC-0050,uses_account,3,true
SYN-LNK-00333,SYN-OFF-0113,SYN-ACC-0050,uses_account,3,true
SYN-LNK-00334,SYN-OFF-0032,SYN-ACC-0050,uses_account,3,true
SYN-LNK-00335,SYN-OFF-0080,SYN-ACC-0050,uses_account,2,true
SYN-LNK-00336,SYN-OFF-0206,SYN-ACC-0050,uses_account,3,true
SYN-LNK-00337,SYN-OFF-0209,SYN-ACC-0050,uses_account,3,true
SYN-LNK-00338,SYN-OFF-0058,SYN-ACC-0050,uses_account,3,true
