population,literacy_pct,urban_pct,density,risk_band
14231065,87.3,99,6086,Critical
1453835,88.2,40.6,738,Critical
4044805,65.6,41.6,824,High
1865221,67.8,8,229,Low
1849851,55.3,13.1,401,Low
1547345,69.8,8,237,Low
1651130,82.4,14.4,562,Low
2219461,80.8,62.1,224,High
2649845,74.2,25.1,196,Low
4385871,76.6,34.1,602,Moderate
1766353,66.1,66.6,454,High
1844464,68.8,36.3,291,Low
779982,82.9,61.0,528,Critical
3385671,68.4,23.6,800,High
3211636,71.0,32.5,351,High
3031607,78.8,17.1,193,Low
1884357,65.8,48.8,399,Moderate
1310194,67.8,27.8,328,Low
1276314,74.0,35.0,290,Low
947359,86.1,32.4,373,Moderate
1418926,66.9,15.8,442,Low
5879736,75.6,31.7,407,High
2681784,60.6,28.6,294,Low
757705,75.5,8,164,Low
2771835,71.1,8,403,Low
1457848,75.8,36.5,247,Low
2827581,78.2,30.6,301,High
1875250,84.6,32.4,464,Moderate
2860289,91.6,39.9,770,High
2152952,75.8,31.5,445,Moderate
2099553,79.5,8,252,Moderate
1255445,69.9,52.8,378,Moderate
3490677,68.3,33.1,270,Moderate
2938791,72.4,51.0,470,High
663371,61.3,23.9,438,Low
1859291,54.4,25.3,135,Low
2342866,70.6,57.5,218,High
7355822,74.1,23.3,624,High
2089268,89.8,40.9,541,High
1955811,81.7,52.6,245,Moderate
470466,86.7,15.5,167,Moderate
999553,80.3,22.9,232,Low
2148797,69.2,57.3,230,High
1798772,78.6,32.6,424,Low
2823614,76.2,18.8,413,Moderate
1335852,68.1,17.3,478,Low
1548121,67.7,40.0,322,Low
1732921,81.5,24.8,249,Low
1509573,68.6,13.5,360,Low
1909482,71.7,27.1,152,Low
798433,76.7,17.8,524,Low
1545983,67.7,12.2,189,Low
2070994,65.1,27.3,509,Moderate
1862487,77.6,26.7,316,High
4888769,73.1,30.5,558,Moderate
1916316,80.2,38.6,293,Low
2580880,84.1,25.9,173,Low
2826872,70.1,14.9,124,Low
2173745,79.9,43.7,584,High
1822312,89.0,37.4,455,High
789707,81.5,44.3,109,High
7127525,78.6,38.4,323,High
999414,71.4,33.0,365,High
1494222,85.8,28.0,252,Moderate
2244014,84.2,37.5,714,High
1528628,59.4,21.2,309,Low
2341849,92.5,48.6,679,Moderate
1308261,86.0,51.4,422,High
2660354,77.2,20.3,425,Low
2138056,79.2,37.3,702,Moderate
1114102,62.7,17.6,287,Low
1607146,66.5,19.2,166,Moderate
1348211,70.5,27.8,303,Moderate
4288251,74.1,44.1,460,High
3227335,62.6,30.8,227,Low
3041461,77.5,28.4,398,Moderate
2905053,58.0,39.5,551,Moderate
2825528,89.9,30.6,304,Low
2840967,66.3,32.0,192,High
3237907,78.2,24.2,439,Moderate
1491331,67.7,8,141,Low
5252212,71.9,33.3,269,Low
1303963,77.2,8,95,Low
1471393,83.7,25.0,80,Moderate
1725164,71.3,70.5,392,Moderate
1581648,75.3,17.4,508,High
2626237,77.2,27.4,212,Low
3553228,69.1,25.9,623,Moderate
2832835,74.1,36.4,227,Moderate
4446331,68.9,21.7,319,Moderate
3636150,70.3,34.9,355,Moderate
1776103,66.5,16.7,297,Low
2374901,75.0,60.5,235,Critical
2295585,88.4,54.2,276,Moderate
2149226,58.6,24.9,159,Low
2219946,76.1,39.8,299,Moderate
1560842,78.4,9.8,260,Low
2809700,66.3,35.6,381,Low
4455836,77.9,32.4,373,Moderate
2093642,65.2,18.0,380,Low
1370805,81.7,59.0,461,Critical
1441160,58.1,13.6,360,Low
2269913,75.1,47.1,156,Low
1503895,84.9,20.9,139,Low
3699431,79.7,33.3,237,Moderate
2512999,74.4,32.5,283,High
12324496,82.4,89.1,5948,Critical
4431966,83.7,54.5,569,Critical
1119600,58.6,27.5,497,Low
1919423,47.8,38.7,279,Low
2997083,75.5,25.1,575,High
2358605,64.4,24.2,248,Low
1579094,89.6,56.8,485,High
1141810,77.0,56.8,263,High
2079912,76.0,61.2,359,High
824802,90.2,31.0,148,Moderate
1456917,66.9,52.0,637,Low
2523280,84.9,37.5,239,High
1911750,66.8,37.9,215,Low
4423828,77.3,19.6,447,High
1110409,81.8,56.3,728,High
2064591,75.5,20.3,199,Low
2260666,78.3,41.9,355,Moderate
2182879,79.4,18.4,401,Moderate
1754141,75.9,26.7,359,Moderate
2737922,83.6,46.3,399,High
769516,79.0,36.0,366,Moderate
1133707,86.9,31.6,304,Moderate
683315,65.9,23.5,402,Low
1555257,69.1,15.6,486,Moderate
2394412,78.2,23.5,365,Low
1853598,65.4,11.4,353,Low
1778619,71.1,43.2,129,Low
1191315,61.7,68.7,444,High
970509,81.3,54.5,534,High
980337,67.1,11.6,544,Low
1086768,78.6,20.9,273,Moderate
1207683,67.9,31.9,274,Moderate
3677099,59.9,37.5,505,High
1138179,67.3,31.0,737,Moderate
1545621,68.8,28.3,207,Low
13681579,88.2,83.4,7144,Critical
1249870,57.4,30.3,231,Low
2245084,83.8,13.7,473,Moderate
3012503,91.7,37.7,231,High
1487836,57.4,19.9,167,Low
736770,68.1,41.6,489,Low
2394106,81.0,29.9,367,Moderate
2083082,70.4,13.3,423,Low
1359272,60.2,42.1,155,Moderate
1426616,74.4,23.0,586,Moderate
810510,72.1,8,121,Low
1710045,75.3,21.3,188,Low
1189534,92.7,43.6,108,Moderate
1488978,47.9,17.3,147,Low
3172780,85.8,39.0,664,High
414772,74.6,23.6,183,Moderate
1250516,80.1,52.4,586,Moderate
2509145,63.3,10.8,435,Low
3382506,76.4,48.2,526,Moderate
1550996,54.3,25.7,115,Low
4658884,79.7,55.8,541,High
964449,81.5,12.0,337,Low
692536,85.9,21.8,375,Moderate
1704173,76.6,67.4,251,High
2287097,78.0,22.6,247,Low
882995,70.6,32.0,237,Low
1800397,71.2,62.0,336,Moderate
3202503,94.1,38.3,478,Moderate
8101510,84.8,79.6,7067,Critical
1943984,82.2,48.8,773,High
951364,70.5,14.6,226,Low
1430970,77.3,34.1,514,Low
751033,71.0,30.4,496,Critical
2715435,72.3,39.2,627,Moderate
1452028,67.3,34.6,148,Low
1007005,75.9,31.8,229,Low
2108684,64.8,38.6,382,Low
2214170,78.4,28.0,80,Moderate
1497886,66.7,21.8,365,Low
1406137,89.0,19.3,248,Low
1085565,59.6,9.5,264,Low
2204004,76.7,15.1,547,High
891295,81.6,42.9,212,Moderate
709665,89.9,17.5,176,Low
1306851,66.8,26.4,445,Low
2490970,71.8,18.5,203,Low
1585155,72.9,30.1,328,Low
5652296,74.8,32.8,462,High
1198763,47.5,12.4,130,Low
1505332,82.6,58.1,365,High
2923563,58.9,18.3,342,Low
921802,75.0,16.6,431,Low
2234134,72.2,42.2,580,High
891457,59.9,26.6,355,Moderate
2052132,68.1,16.4,632,Moderate
1155506,72.2,18.0,414,Low
4720909,71.0,31.5,594,Moderate
9664100,99,88.1,3840,Critical
1743442,69.4,36.2,182,Low
891665,77.1,29.2,419,Moderate
884925,63.5,36.0,227,Low
702942,99,21.7,319,Low
6878843,72.3,10.9,277,Low
4042433,66.4,39.5,251,Moderate
4242997,63.2,38.5,696,Moderate
3812782,73.4,50.0,466,Critical
1710122,73.8,15.9,394,Moderate
705128,69.0,30.3,314,Moderate
1796950,77.4,39.6,450,High
978913,83.9,15.9,102,Low
3496042,83.1,15.4,300,Moderate
2303451,73.7,8,227,Low
1479773,76.8,25.8,205,Low
785621,69.2,9.6,228,Low
2216207,64.1,20.4,162,Low
7417854,62.9,32.7,401,Moderate
811090,52.8,27.6,142,Low
1834023,56.7,14.3,200,Low
1731687,76.0,20.8,464,Low
4018541,80.8,17.0,315,Moderate
1867116,69.4,25.4,175,Low
1036828,73.3,16.0,146,Low
4540113,70.4,45.7,674,High
1423034,52.3,34.1,339,Low
817762,72.3,17.9,559,Low
902031,59.1,8,360,Low
4125655,77.1,25.1,340,Moderate
1973178,78.9,15.2,317,Low
2561641,88.3,34.3,617,Low
647321,80.5,33.0,476,Moderate
1483613,64.6,15.3,571,Low
1739148,62.1,32.5,336,Moderate
2005332,67.0,24.9,278,Moderate
1124439,96.9,44.0,268,Critical
484957,76.2,8,130,Low
5702774,73.8,38.1,576,Critical
645556,68.5,43.7,666,Moderate
11547545,84.4,90.6,7150,Critical
3080441,71.4,35.6,204,High
1725144,78.3,21.3,161,Moderate
6498627,81.7,28.1,283,High
1414060,71.9,51.5,158,Moderate
1886877,55.9,28.5,370,Low
1345222,67.1,25.5,400,Low
4080876,74.2,42.3,437,High
3861341,66.1,31.9,640,Moderate
2000634,80.8,32.1,450,Moderate
1568634,67.8,39.1,251,Moderate
508422,86.5,17.9,139,Low
1643847,70.8,58.4,376,High
2053881,62.0,32.6,286,Moderate
2318331,62.4,13.4,209,Low
3876228,69.0,53.4,130,Moderate
1454395,69.4,27.8,379,Low
1137076,80.1,17.4,455,Low
2680575,84.3,24.7,421,High
1415107,75.1,53.0,380,Moderate
733110,60.4,20.8,296,Low
1202420,82.2,18.2,206,Low
1694033,90.2,29.5,90,Low
3085426,58.8,21.0,236,Moderate
1195071,72.2,20.8,192,Low
2055372,86.2,58.9,688,High
1662929,74.8,37.9,343,Low
1006066,59.9,9.3,122,Low
3938158,81.6,37.4,443,Moderate
4151576,81.4,22.8,167,Low
939988,57.2,18.5,318,Low
1848028,71.6,39.0,435,Moderate
2338251,56.9,26.5,147,High
952965,73.5,44.6,629,High
1617632,73.8,27.5,185,Low
1137665,69.5,8,331,Low
1167893,59.5,27.2,282,Low
2417971,66.8,29.5,309,Low
2408347,88.8,30.1,221,Low
1392948,67.9,28.1,183,Low
2472815,69.9,64.6,535,High
2905320,64.4,30.4,335,Moderate
1161358,77.3,66.4,264,High
1958139,77.4,17.1,440,Low
1138541,97.8,17.7,360,Low
1489074,76.8,29.2,792,Low
1725863,73.8,53.9,607,Low
4044200,80.8,14.8,524,Moderate
1470471,83.0,32.6,778,Moderate
1680720,77.1,54.6,401,High
1864422,66.3,12.0,516,Low
1684151,96.7,30.5,253,Moderate
3731324,76.1,25.8,306,Low
903249,77.6,16.3,311,Low
1879816,71.5,43.8,241,Moderate
1601177,92.6,22.8,275,Low
4257870,75.9,8,581,Low
1686586,64.4,18.6,364,Low
2292641,66.9,23.4,272,Moderate
1651298,69.3,38.5,167,Low
2306883,86.1,62.3,503,High
583394,76.3,45.5,481,Low
2189918,90.3,53.0,556,High
1733314,82.6,15.0,134,Moderate
2318969,72.7,33.7,547,Moderate
1472911,89.2,26.8,114,Moderate
1572568,72.5,25.0,401,Low
1201543,83.9,24.4,366,Low
688374,85.1,28.0,168,Moderate
2331560,80.0,30.4,308,Moderate
2211243,74.6,59.5,211,Moderate
1656704,63.6,30.9,500,Moderate
1778582,74.2,18.4,449,Moderate
4128883,76.5,37.2,252,High
1451094,64.4,35.4,261,Low
2989360,82.7,53.1,269,Moderate
3657814,63.4,24.7,213,Moderate
1802722,93.8,64.0,577,Critical
12961323,96.7,76.9,4649,Critical
1660133,83.9,41.1,234,Low
1985262,68.3,31.5,164,Moderate
719369,72.1,28.6,260,Low
1368364,91.2,48.6,646,High
1899090,81.2,26.4,426,Low
3600779,62.6,29.3,261,Moderate
1831792,81.6,33.2,127,Moderate
1490418,77.4,42.5,256,Moderate
4675469,71.6,19.6,325,Moderate
2104141,83.0,50.8,307,High
2237093,97.0,38.7,279,High
801899,76.8,27.8,448,Moderate
1372042,64.3,23.3,255,Low
1566939,76.7,48.2,391,Moderate
1281578,72.4,8,213,Low
1734645,55.8,8.3,446,Low
2148749,71.4,63.8,371,Moderate
1589570,75.1,28.5,321,Low
2434954,86.3,21.5,213,Low
4618080,70.3,19.8,511,Low
2589833,70.4,33.1,326,High
2604314,72.2,30.2,284,Moderate
558388,91.7,14.5,144,Low
1396054,78.5,28.7,283,Low
3085975,88.1,34.7,767,High
2350546,59.9,41.4,525,Moderate
919794,91.6,22.7,170,Moderate
1965502,80.7,51.5,770,High
1840345,73.1,28.4,199,Low
748357,63.5,35.9,283,Moderate
1669153,78.3,27.0,296,Moderate
1405182,51.4,8.8,238,Low
1445482,47.1,14.0,191,Low
4230639,67.6,37.4,835,Moderate
1615235,80.5,21.3,268,Low
2391318,77.0,17.5,377,Moderate
966910,86.6,45.4,230,Low
1618520,52.3,12.1,298,Low
1331451,84.2,35.7,123,Moderate
1536353,69.7,20.7,448,Low
1872949,77.5,34.2,146,Low
2835201,76.2,38.1,524,High
4887428,65.3,33.7,230,Moderate
1499798,78.6,30.9,160,Low
1975051,59.6,20.3,333,Low
1686074,79.2,36.4,357,High
2217500,60.6,35.1,807,Moderate
1136656,58.1,14.6,271,Low
783012,73.4,24.4,367,Low
524316,84.4,8,185,Low
1460643,68.3,24.4,176,Low
2248817,91.2,62.1,431,Moderate
1470550,61.9,23.0,291,Moderate
3346710,66.7,13.8,141,Low
1811889,80.7,35.5,446,High
1758005,87.0,35.1,241,Moderate
1188891,55.9,21.1,253,Low
1024058,67.7,26.0,115,Low
1715679,59.3,27.3,427,High
695599,67.7,28.8,242,Low
595482,54.0,8.6,178,Low
775251,76.5,19.4,202,Low
1791191,76.4,16.1,336,Low
1094380,92.5,40.2,252,High
3848100,58.2,32.6,147,Low
950896,78.4,38.9,645,High
1539604,78.4,31.3,351,Moderate
1365219,80.1,36.4,471,Moderate
2975788,71.1,28.8,471,Low
970027,58.5,27.3,240,Low
1538592,89.6,25.0,156,Low
12949670,88.6,99,4026,Critical
1653022,85.8,8.5,89,Low
2248176,97.4,56.0,720,High
1264662,78.9,32.6,136,Moderate
2327554,75.5,58.8,441,Critical
1552099,74.0,23.6,667,Moderate
1125188,73.7,39.8,302,Moderate
860395,66.8,25.0,163,Low
2979299,92.1,54.7,818,High
1690669,57.4,43.2,257,Moderate
1019740,74.3,14.9,233,Low
1418529,75.2,30.3,206,Moderate
1923438,86.7,32.7,175,Moderate
2144948,78.2,18.7,262,Low
3021526,55.7,9.5,331,Low
3621707,79.7,16.6,373,Low
1955806,66.0,24.6,160,Moderate
7217207,78.3,27.1,472,High
1037275,60.0,17.8,267,Low
1339611,64.4,15.9,230,Low
1032669,61.4,33.8,258,Low
903486,63.7,18.1,186,Low
1066978,72.5,25.4,232,Moderate
1149657,59.8,18.3,394,Low
1900655,67.7,23.9,402,Low
1616763,83.3,24.4,189,Moderate
1803477,72.8,8,288,High
1700934,78.2,29.4,199,High
2505628,71.5,25.7,350,Low
870980,64.9,8,175,Low
1064343,46.5,9.8,396,Low
746438,79.2,33.3,120,Moderate
1498298,81.3,25.8,205,Moderate
1141196,72.3,11.2,533,Low
1315903,86.8,19.9,238,Low
680451,75.9,10.5,178,Low
2432934,73.1,33.3,428,Moderate
2524887,67.9,16.6,328,Low
1651847,79.2,27.4,485,Moderate
1392329,83.3,22.7,230,High
1094108,78.3,32.1,460,Moderate
2852072,69.9,53.7,654,Moderate
829287,78.0,43.7,385,Low
1493637,70.2,8,224,Moderate
1706125,45,8,265,Low
1817957,96.6,56.6,593,High
6000507,71.4,28.8,586,High
1615886,74.7,32.6,247,High
983584,70.0,11.2,143,Low
1739602,70.0,20.5,247,Low
1916393,72.3,40.0,801,High
1199405,78.9,37.7,438,Low
629055,85.7,9.6,104,Low
4057408,76.7,31.3,212,Low
1056027,76.8,55.3,308,High
2437963,66.6,64.4,417,High
2747786,53.5,13.2,406,Low
1373458,76.1,63.1,336,High
1533645,75.9,11.8,115,Low
1341376,67.0,13.9,506,Low
7223808,72.6,29.0,289,High
1349035,61.0,37.3,206,Low
3879448,69.8,35.7,442,Low
1863715,89.8,23.9,100,Moderate
5452164,86.7,91.2,3778,Critical
2930728,57.8,18.3,214,Low
3697044,78.2,41.4,370,High
895151,86.2,38.5,240,Moderate
731756,79.0,43.9,429,High
1870310,49.5,23.2,153,Low
3916342,82.7,20.9,205,Moderate
3017986,78.3,37.3,724,Moderate
1817735,77.0,60.0,305,High
2712597,78.6,70.3,725,High
2598837,68.8,11.8,149,Low
2959657,68.1,22.7,366,Moderate
2257135,80.7,17.1,275,Moderate
1018124,88.7,59.8,289,High
674057,68.3,18.4,297,Low
4741591,75.4,38.7,622,High
936836,81.9,39.3,262,Moderate
3218821,66.8,26.9,390,Low
3168039,69.0,39.2,449,Moderate
1979575,84.6,38.5,160,Low
1564408,53.9,21.5,130,Low
1421352,64.1,36.7,473,Moderate
1155246,80.4,30.1,305,Moderate
521739,90.9,15.4,215,Moderate
1620208,72.6,22.1,396,Low
2028866,91.1,37.1,146,High
1868917,69.0,15.4,267,Low
1335532,57.3,27.2,178,Low
2185920,74.1,62.4,232,Moderate
866410,84.2,36.6,273,Moderate
1025813,74.5,17.8,280,Moderate
1443962,78.6,23.7,214,Moderate
1784987,90.0,43.3,725,Low
1109080,71.8,13.6,190,Low
1291812,79.4,32.2,216,Low
3608848,67.5,17.4,190,Low
1174225,63.9,21.4,266,Low
1717737,72.8,21.2,354,Low
3089786,77.0,32.3,308,Moderate
10582629,99,90.0,7302,Critical
1120892,61.0,17.9,158,Low
1613836,70.0,16.2,537,Moderate
1803314,74.1,37.8,601,High
6686142,76.9,31.5,262,High
5421972,80.5,9.5,454,Low
1749255,76.5,13.4,180,Moderate
1598399,66.2,42.5,833,High
1239316,64.1,29.4,294,Low
3228847,82.9,59.0,365,High
1247665,84.9,42.8,104,Critical
1938013,59.6,31.2,229,Low
1785535,72.4,30.2,193,Low
1034844,58.3,40.4,168,Low
2171930,80.1,48.5,273,High
982178,70.8,32.9,700,Moderate
1796463,71.7,30.4,360,Low
2541654,86.0,66.7,762,Critical
11342146,90.4,90.6,4759,Critical
3113359,76.1,22.1,113,Low
1793806,59.3,8,233,Low
1064361,70.0,34.8,447,High
1383863,87.9,30.8,495,Moderate
1774083,74.8,38.4,356,Moderate
1160715,80.3,31.0,350,Moderate
1334157,74.8,15.8,193,Low
1341479,69.8,34.9,330,Low
974511,83.5,18.8,382,Low
921428,86.1,28.5,372,Moderate
9172569,92.9,99,3360,Critical
1177549,88.7,57.7,265,High
2731252,69.4,18.8,152,Low
694300,64.7,26.1,267,Low
2995008,99,42.7,723,High
1757054,78.6,30.1,226,Moderate
1068419,61.2,12.6,328,Low
1126942,86.0,46.2,538,High
2357521,90.0,52.8,463,High
6253481,85.2,29.9,452,High
3047845,76.6,22.8,250,Moderate
1989397,57.2,35.6,275,Moderate
5218022,70.2,31.3,194,Moderate
1134137,65.5,26.8,296,Low
1277012,84.4,26.4,273,Moderate
1214697,86.9,8.1,147,High
1127699,68.9,27.4,415,High
3614828,63.5,35.1,335,Low
1831734,75.6,17.2,392,Low
1065740,68.2,22.7,417,Low
1611509,75.8,20.2,485,Low
1014122,77.0,8,465,Low
1688106,53.9,33.7,199,Low
3213152,76.5,19.4,302,Moderate
1135319,70.5,27.9,245,Low
1722989,68.2,19.4,227,Moderate
2016286,90.3,45.0,565,Moderate
1103777,84.4,19.0,180,High
1216134,73.5,32.5,478,Low
1347728,61.0,39.6,174,Moderate
1599368,55.2,39.0,231,High
9654135,93.4,99,4041,Critical
1711597,69.6,13.4,306,Low
727060,56.9,12.4,191,Low
2146853,83.7,14.5,158,Low
2209363,91.3,58.9,533,Critical
894628,65.1,15.3,266,Low
1233119,58.2,8.6,140,Low
1745850,85.3,40.3,216,High
2783053,52.1,30.9,212,Low
1296142,81.2,27.5,145,Moderate
1534419,76.9,37.6,139,Critical
2257291,85.6,31.4,734,High
3029089,64.1,17.7,182,Low
2144341,86.9,29.4,237,Moderate
1017044,45,20.4,145,Low
666409,77.2,11.0,129,Low
2390723,80.0,60.0,347,High
1414816,83.2,46.9,167,High
1423350,77.2,32.1,196,Low
2279999,78.8,31.3,324,Low
2071974,65.1,27.1,247,Low
954071,71.3,30.9,627,Moderate
2425402,59.9,22.7,376,Low
1576090,69.3,24.9,496,Low
1277408,84.0,61.5,489,High
3119860,81.9,43.6,793,High
2976232,60.2,29.2,558,Low
1390848,74.5,12.9,389,Moderate
1113461,73.6,52.2,679,Moderate
2054961,72.4,36.0,477,Low
805905,45,17.6,303,Low
759865,65.2,13.3,172,Low
870770,70.0,23.8,329,High
296477,85.1,29.3,142,High
1493372,84.6,8,205,Low
1502915,55.5,32.3,419,Low
631321,70.8,34.5,632,Low
1681754,72.3,56.2,166,Moderate
621220,81.3,8,213,Low
2865551,82.8,50.6,776,High
2366961,72.2,34.0,289,Moderate
2181670,78.8,49.6,277,High
1725447,54.6,20.7,322,Moderate
4199510,76.9,28.0,502,Low
3436787,75.5,12.0,453,Moderate
2562753,84.4,49.1,691,Moderate
4756740,65.0,32.8,794,Low
1298870,78.4,25.2,203,Low
1954180,94.7,46.7,518,High
1607457,67.6,12.5,240,Low
1566705,77.0,22.2,584,Moderate
877434,51.1,15.5,178,Moderate
1050929,84.5,26.8,455,Moderate
1661343,78.7,50.3,145,High
2018157,69.8,8,146,Low
3625202,70.5,38.7,520,High
2326504,73.4,13.5,179,Low
1630622,72.0,13.8,492,Low
1497588,81.9,22.8,258,Moderate
2253979,60.0,28.6,579,Moderate
1032171,75.4,40.1,603,Moderate
1881351,77.9,37.6,239,Moderate
1674000,73.1,22.6,244,Low
