district,unit,latitude,longitude,total_crimes
Bengaluru City,Vidyaranyapura PS,13.07115,77.51725,1259
Bengaluru City,Bellanduru PS,12.91229,77.67599,1258
Bengaluru Dist,Nelamangala Rural PS,13.11625,77.35585,1258
Chikkamagaluru,Ajjampura PS,13.75335,76.02218,1258
Vijayapur,Sindagi PS,16.92487,76.26124,1237
Gadag,Gadag Rural PS,15.40048,75.62003,1212
Belagavi Dist,Raibag PS,16.45104,74.79192,1199
Bengaluru City,Annapoorneshwari Nagar PS,12.94545,77.50657,1187
Bengaluru Dist,Jigani PS,12.77994,77.63687,1183
Tumakuru,Tumakuru Traffic PS,13.33544,77.11008,1180
Bengaluru City,Soladevanahalli PS,13.10364,77.5098,1168
Tumakuru,Turuvekere PS,13.12537,76.69508,1163
Bengaluru City,Halasur PS,12.96994,77.62563,1158
Belagavi Dist,Ghataprabha PS,16.2463,74.81352,1157
Mysuru Dist,K.R. Nagar PS,12.45158,76.35535,1138
Mangaluru City,Traffic South Police Station,12.78084,74.82582,1136
Bagalkot,Mudhol PS,16.33733,75.28325,1119
Chamarajanagar,Kollegala Rural  PS,12.18292,77.1487,1116
Bengaluru City,Jeevan Bheemanagar PS,12.96261,77.64887,1100
Koppal,Koppal Rural PS,15.39324,76.21695,1088
Mangaluru City,Traffic North Police Station,12.9576,74.79402,1087
Bengaluru City,Rajajinagar Traffic PS,12.95136,77.40095,1081
Bengaluru City,Vyalikaval PS,12.99938,77.56856,1072
Bengaluru Dist,Rajanukunte PS,13.17042,77.54651,1057
Bengaluru Dist,Bannerghatta PS,12.81451,77.58318,1056
Belagavi Dist,Yamakanmardi PS,16.1227,74.56529,1051
Bengaluru City,Whitefield PS,12.95678,77.73215,1045
Chickballapura,Shidlagatta Rural PS,13.34044,77.87409,1043
Belagavi Dist,Sankeshwar PS,16.25928,74.45458,1036
Belagavi Dist,Chikkodi PS,16.38629,74.62845,1034
Bengaluru City,South CEN Crime PS,12.82717,77.53297,1025
Tumakuru,Koratagere PS,13.52014,77.2344,1025
Bengaluru Dist,Nandagudi PS,13.1677,77.90752,1024
Bengaluru City,Halasurgate PS,12.96746,77.58296,1022
Dharwad,Dharwad Rural PS,15.4691,75.0049,1020
Koppal,Kushtagi PS,15.77725,76.1732,1019
Belagavi Dist,Khanapur PS,15.64031,74.47762,1018
Bengaluru City,Rajajinagar PS,12.98138,77.55427,1011
Dharwad,Hubli Rural PS,15.32552,75.18216,1002
Chickballapura,Bagepalli PS,13.7875,77.8131,1001
Hubballi Dharwad City,Dharwad Sub-Urban PS,15.46277,74.99465,1000
Vijayapur,Indi Rural PS,17.16096,76.00916,983
Udupi,Byndoor PS,13.83117,74.6323,977
Chikkamagaluru,Chickmagalur Town PS,13.31582,75.7681,976
Koppal,Munirabad PS,15.33394,76.30737,976
Dharwad,Kalaghatagi PS,15.19725,74.96818,973
Bengaluru City,Vishveshwarapuram PS,12.93545,77.57256,971
Bengaluru City,Subramanyapura PS,12.86761,77.51078,970
Chikkamagaluru,Chickmagalur Rural  PS,13.31375,75.80174,969
Bengaluru Dist,Nelamangala Town PS,13.09538,77.3981,968
Vijayapur,Basavan Bagewadi PS,16.54458,75.98415,967
Udupi,Manipal PS,13.34272,74.77935,966
Hubballi Dharwad City,CEN Crime PS Hubballi Dharwad City,15.38361,75.09106,963
Bengaluru Dist,Dobbespet PS,13.22259,77.23847,960
Koppal,Gangavathi Rural PS,15.44112,76.50997,960
Davanagere,Davanagere Rural PS,14.45462,75.98137,959
Mysuru City,V V Puram Traffic PS,12.32922,76.61005,954
Bengaluru City,Suddaguntepalya PS,12.90731,77.58873,937
Bengaluru City,Jnanabharathi PS,12.89644,77.46831,934
Tumakuru,Hebbur PS,13.20167,77.06907,933
Uttara Kannada,Honnavara PS,14.30137,74.47885,932
Udupi,Kota PS,13.52029,74.73253,931
Belagavi City,Kakati PS,15.94623,74.49219,926
Mysuru City,Krishnaraja Traffic PS,12.28677,76.63355,923
Tumakuru,Tiptur Town PS,13.26127,76.47194,910
Bengaluru City,Mahadevapura PS,12.97793,77.68383,908
Hassan,Arakalagud PS,12.73273,76.11686,894
Tumakuru,Huliyurdurga PS,12.81076,77.0338,894
Mangaluru City,Moodabidre PS,13.07809,74.9631,891
Uttara Kannada,Ankola PS,14.63765,74.34527,888
Bengaluru City,Jalahalli PS,13.04687,77.54693,887
Belagavi Dist,Harugeri PS,16.47999,74.93383,883
Bengaluru City,Jagajeevanram Nagar PS,12.68123,77.38979,880
Gadag,Nargund PS,15.74882,75.4133,878
Koppal,Karatagi PS,15.56317,76.64147,877
Bengaluru City,Rajarajeshwari Nagar PS,12.77611,77.47927,875
Bengaluru Dist,Vijayapura PS,13.30213,77.76858,873
Bengaluru City,V V Puram Traffic PS,12.72065,77.42006,865
K.G.F,Bangarpet  PS,12.99237,78.18014,864
Bengaluru City,Subramanyanagar PS,12.99685,77.54944,861
Bengaluru City,Sadashivanagar Traffic PS,13.0083,77.53627,855
Belagavi Dist,Gokak Rural PS,16.10773,74.81534,850
Belagavi Dist,Kagwad PS,16.68136,74.81776,850
Vijayapur,Gandhi Chowk PS,16.82821,75.70562,850
Tumakuru,Pavagada PS,14.07545,77.28017,848
Bengaluru City,Channammanakere Achu Kattu PS,12.87383,77.55784,845
Gadag,Mundargi PS,15.20012,75.81633,841
Chikkamagaluru,Kadur PS,13.48285,76.02751,839
Raichur,Devadurga PS,16.37121,76.86253,834
Tumakuru,Huliyar PS,13.58624,76.549,831
Bengaluru City,Kadugodi PS,12.99634,77.74346,830
Belagavi City,Belagavi Rural PS,15.79758,74.46689,828
Belagavi Dist,Kittur PS,15.63185,74.76737,821
Belagavi Dist,Ramadurga PS,15.94459,75.34065,821
Bengaluru City,Govindaraja Nagar PS,12.97241,77.52843,820
Udupi,Brahmavar PS,13.43188,74.76734,817
Vijayapur,Vijayapura Traffic PS,16.79595,75.68293,814
Tumakuru,Kallambella PS,13.62224,76.94619,813
Chikkamagaluru,Tarikere Town PS,13.72023,75.8108,810
Uttara Kannada,Haliyal PS,15.31172,74.78106,810
Belagavi City,Market PS,15.85785,74.5186,809
Kalaburagi City,Ragavendranagar PS,17.34286,76.78229,808
Belagavi Dist,Katkol PS,15.99207,75.19595,806
Bengaluru City,Hebbal PS,13.03848,77.59857,804
Bengaluru Dist,Doddaballapura Town PS,13.29501,77.54038,800
Uttara Kannada,Mundgod PS,14.92291,75.02682,793
Bengaluru City,Vijayanagar PS,12.90942,77.50706,787
Bengaluru City,Electronic City PS,12.78235,77.60599,786
Vijayapur,Muddebihal PS,16.31499,76.15047,786
Belagavi Dist,Hukkeri PS,16.24927,74.63318,783
Bengaluru Dist,Doddabelavangala PS,13.28008,77.41914,780
Raichur,Lingasugur PS,16.16501,76.49222,774
Kalaburagi City,University PS,17.31229,76.86938,770
Bengaluru City,Parappana Agrahara PS,12.85356,77.65117,766
Hubballi Dharwad City,Old Hubballi PS,15.33368,75.11987,763
Shivamogga,Tunga Nagar PS,13.853,75.54113,763
Tumakuru,Kora PS,13.46754,77.0767,763
Uttara Kannada,Kumta PS,14.44244,74.43034,763
Bengaluru City,Marathahalli PS,12.87164,77.63531,760
Bengaluru City,Banaswadi PS,13.11979,77.56147,756
Bengaluru City,Magadi Road Traffic PS,12.95574,77.54934,754
Dakshina Kannada,Puttur Traffic PS,12.79923,75.22243,753
Chikkamagaluru,Mudigere PS,13.13482,75.64421,746
Bengaluru City,Hennur PS,13.09972,77.64063,744
Bengaluru Dist,Vishwanathapura PS,13.24947,77.60503,743
Kalaburagi City,Kalaburagi Traffic I PS,17.27461,76.80804,743
Gadag,Gajendragad PS,15.7451,75.93812,742
Hubballi Dharwad City,Vidyagiri PS,15.43329,75.01823,741
Bengaluru City,Jalahalli Traffic PS,13.07056,77.50772,739
Uttara Kannada,Siddapura PS,14.36391,74.83991,736
Bengaluru City,Yelahanka New Town PS,13.10692,77.56417,731
Haveri,Halageri PS,14.53293,75.6177,731
Belagavi Dist,Mudalgi PS,16.3266,74.95704,726
Gadag,Ron PS,15.72717,75.6788,726
Vijayapur,Devara Hipparagi PS,16.81454,76.09737,724
Shivamogga,Doddapete PS,13.9159,75.56416,723
Bengaluru City,Sadashivanagar PS,13.0195,77.55932,721
Mysuru City,Siddarthanagar Traffic PS,12.30788,76.68765,719
Bengaluru Dist,Thirumalashettahalli PS,12.99535,77.80163,717
Dharwad,Garag PS,15.54979,74.90907,716
Chickballapura,Gudibande PS,13.65237,77.75231,714
Bengaluru City,Upparpet Traffic PS,12.93664,77.57274,712
Haveri,Savanoor PS,14.94202,75.3608,710
Kolar,Malur PS,12.96046,77.85378,710
Bengaluru City,Hanumanthanagar PS,12.93894,77.55436,709
Bengaluru City,Malleshwaram PS,12.88257,77.47063,707
Mangaluru City,Mangalore South PS,12.84446,74.82433,707
Bengaluru City,K.R.Puram Traffic PS,13.01017,77.67901,706
Belagavi Dist,Aigali PS,16.76751,75.24668,705
Mangaluru City,Mangalore East Traffic PS,12.87312,74.852,702
Bengaluru City,Bagalur PS,13.13092,77.65526,700
Davanagere,Honnali PS,14.237,75.68623,695
Belagavi Dist,Sadalaga PS,16.52845,74.47883,694
Belagavi Dist,Nandagad PS,15.57079,74.64131,690
Bengaluru City,Chamarajpet PS,12.94172,77.55127,688
Hubballi Dharwad City,Vidyanagar PS,15.36565,75.12335,688
Udupi,Kapu PS,13.25776,74.74687,688
Kalaburagi City,Brahmapur PS,17.33523,76.83577,686
Bengaluru City,Kumaraswamy Layout PS,12.91204,77.55975,684
Bengaluru City,Seshadripuram PS,12.9803,77.5722,679
Belagavi Dist,Gokak Town PS,16.16206,74.82027,675
Belagavi Dist,Kulgod PS,16.22305,75.04943,671
Mysuru City,Narasimharaja PS,12.33807,76.66162,670
Vijayapur,Babaleshwar PS,16.59376,75.57408,670
Bagalkot,Bagalkot Rural PS,16.2026,75.80149,666
Bengaluru Dist,Bengaluru CEN Crime PS,12.97334,77.64526,666
Koppal,Gangavathi Town PS,15.43028,76.52724,666
Bengaluru City,NorthEast CEN Crime PS,13.06093,77.56315,665
Dakshina Kannada,Vitla PS,12.76432,75.09565,665
Tumakuru,Amruthur PS,12.96561,76.90534,665
Davanagere,Nyamathi PS,14.12568,75.5651,664
Kodagu,Shanivarasanthe PS,12.71514,75.87899,662
Shivamogga,Holehonnur PS,13.97323,75.70656,660
Bengaluru City,Banashankari Traffic PS,12.91767,77.55079,655
Gadag,Shirahatti PS,15.14554,75.62016,654
Vijayapur,Tikota PS,16.87506,75.49699,653
Belagavi City,APMC Yard PS,15.88321,74.50887,652
Gadag,Lakshmeshwar PS,15.1168,75.50414,652
Bengaluru Dist,Anugondanahalli PS,12.95302,77.82183,651
Davanagere,Malebennur PS,14.37885,75.73027,648
Mangaluru City,Mangalore East PS,12.87613,74.85207,639
Tumakuru,Jayanagara PS,13.32051,77.11111,637
Belagavi Dist,Kudachi PS,16.58838,74.8579,636
Bengaluru City,Halasur Traffic PS,12.96874,77.63178,634
Bengaluru City,Chikkajala PS,13.16547,77.62624,633
Davanagere,Harihara Rural PS,14.49789,75.80942,630
Bagalkot,Badami PS,15.90914,75.64271,629
Bagalkot,Bagalkot Town PS,16.17993,75.67009,629
Yadgir,Shahapur  PS,16.67348,76.86857,629
Vijayapur,Golgumbaz PS,16.82477,75.73219,628
Belagavi City,Marihal PS,15.89201,74.62243,624
Bengaluru City,North CEN Crime PS,13.01761,77.5579,622
Uttara Kannada,Yellapura PS,14.92963,74.73293,618
Bengaluru City,Wilsongarden PS,12.94205,77.58792,617
Belagavi City,Malamaruthi PS,15.86991,74.54135,615
Hubballi Dharwad City,Dharwad Town PS,15.45987,75.01489,613
Bengaluru City,Banashankari PS,12.87284,77.55397,612
Hassan,Shanthigrama PS,12.96357,76.21386,611
Udupi,Malpe PS,13.36317,74.70478,609
Vijayapur,Hortti PS,17.07914,75.82466,609
Hassan,Hassan Traffic PS,12.99861,76.11868,607
Hubballi Dharwad City,Hubballi Sub Urban PS,15.35025,75.1334,607
Chickballapura,Shidlaghatta Town PS,13.39044,77.8643,605
Mangaluru City,Ullal PS,12.75357,74.80502,605
Vijayapur,Talikot PS,16.48409,76.28972,602
Kalaburagi City,Chowk PS,17.35114,76.83212,601
Tumakuru,Patanayakanahalli PS,13.90222,76.724,601
Gadag,Gadag Town PS,15.42601,75.6146,597
Bengaluru City,SouthEast CEN Crime PS,12.88188,77.64599,596
Bengaluru Dist,Sulibele PS,13.16873,77.81289,594
Koppal,Kanakagiri PS,15.58902,76.42945,594
Bengaluru City,Bandepalya PS,12.88826,77.63489,591
Mysuru Dist,T. Narasipura PS,12.23161,76.84106,591
Bengaluru City,Cubbon Park PS,12.95675,77.59313,590
Udupi,Kundapura PS,13.61472,74.69513,590
Bidar,Humnabad PS,17.78985,77.12923,589
Davanagere,Santhebennur PS,14.18443,75.88104,589
Kodagu,Somwarpet PS,12.58671,75.83188,589
Dharwad,Navalgund PS,15.57597,75.32527,586
Chikkamagaluru,Birur PS,13.61755,75.95321,582
Davanagere,KTJ Nagar PS,14.44827,75.91565,580
Kodagu,Kushalanagar Rural PS,12.48192,75.9241,580
Kodagu,Virajpet Rural PS,12.20627,75.78167,579
Bengaluru City,Kumaraswamy Layout Traffic PS,12.87944,77.55169,578
Belagavi City,Belgaum North Traffic PS,15.87321,74.52647,577
Hubballi Dharwad City,Gokul Road PS,15.35199,75.10453,576
Bagalkot,Bilagi PS,16.34809,75.5662,575
Bengaluru City,Koramangala PS,12.93524,77.62148,573
Udupi,Padubidri PS,13.14857,74.76893,572
Kalaburagi City,Station Bazar PS,17.31848,76.82659,568
Tumakuru,Chelur PS,13.43222,76.86363,568
Chickballapura,Gowribidanur Town PS,13.60867,77.51437,566
Tumakuru,Madhugiri PS,13.66621,77.20646,563
Bengaluru Dist,Thyamagondlu PS,13.21685,77.31265,562
Bidar,Dhannura PS,17.96193,77.32284,560
Udupi,Gangolli PS,13.68941,74.66629,560
Bengaluru City,Byadarahalli PS,12.92706,77.44352,559
Vijayapur,Almel PS,17.074,76.24255,559
Davanagere,Davanagere Extention PS,14.46002,75.91701,558
Davanagere,Vidyanagar PS,14.4377,75.90651,558
Belagavi City,Bagewadi PS,15.73302,74.57394,557
Bengaluru City,Cottonpet PS,12.96474,77.56858,555
Shivamogga,Shikaripura Rural PS,14.24351,75.36797,555
Yadgir,Shorapur PS,16.49954,76.74391,554
Hubballi Dharwad City,Dharwad Traffic PS,15.44721,75.01093,551
Tumakuru,Kodigenahalli PS,13.71026,77.36725,549
Tumakuru,Tumakuru Town PS,13.31469,77.09178,549
Bengaluru City,Commercial Street PS,12.98054,77.60361,548
Mysuru City,Udayagiri PS,12.32076,76.67872,548
Dharwad,Kundagol PS,15.21779,75.24596,546
Davanagere,Harihara Town PS,14.51397,75.80843,543
Bagalkot,Amengad PS,16.04492,75.89586,542
Davanagere,Davanagere Women PS,14.46283,75.91765,541
Vijayapur,Indi PS,17.17131,75.95567,541
Mangaluru City,Bajpe PS,12.95592,74.88752,540
Shivamogga,Sagar Rural PS,14.15802,75.08245,539
Vijayapur,Vijayapura Women PS,16.8112,75.72868,538
Bengaluru City,Madivala PS,12.87831,77.60725,535
Bengaluru City,Byatrarayanapura Traffic PS,12.94576,77.53124,532
K.G.F,Bethamangala PS,13.01212,78.32591,532
Bagalkot,Jamakhandi Rural PS,16.50253,75.29023,531
Haveri,Hanagal PS,14.7032,75.12207,528
Mangaluru City,Surathkal PS,12.94588,74.76014,528
Uttara Kannada,Sirsi Rural PS,14.62733,74.7807,528
Vijayapur,Nidagundi PS,16.38042,75.91725,524
Uttara Kannada,Bhatkal Rural PS,13.99645,74.55249,523
Hassan,Channarayapatna Town PS,12.87566,76.40232,522
Mysuru Dist,Saligrama PS,12.56657,76.29194,522
Bengaluru City,Kothanur PS,13.07002,77.63541,520
Bidar,Basava Kalyana Town PS,17.85963,76.94116,517
Hassan,Hassan Rural PS,13.02547,76.09924,516
Kalaburagi City,Ferhatabad PS,17.20468,76.75654,515
Chamarajanagar,Ramapura PS,12.00882,77.4179,514
Kodagu,Gonikoppa PS,12.18213,75.93395,514
Udupi,Shankaranarayana PS,13.60425,74.88334,511
Uttara Kannada,Manki PS,14.19752,74.48713,511
Chikkamagaluru,Balehonnur PS,13.35244,75.48165,510
Tumakuru,Thilak Park PS,13.32936,77.09353,509
Bengaluru Dist,Chennarayapatana PS,13.19447,77.76017,508
Mysuru City,Narasimharaja Traffic PS,12.34206,76.65768,507
Tumakuru,Chikkanayakanahalli PS,13.39694,76.52861,507
Bengaluru City,Basavanagudi Traffic PS,12.94049,77.56576,506
Hubballi Dharwad City,Hubballi North Traffic PS,15.36591,75.1041,506
Chikkamagaluru,Sakkaraya Patna PS,13.41365,75.95608,505
Shivamogga,Shivamogga Rural PS,13.93505,75.59078,504
Raichur,Maski PS,15.96303,76.60044,503
Uttara Kannada,Sirsi Town PS,14.60776,74.82962,503
Chamarajanagar,Kollegala Town PS,12.15697,77.10608,502
Chikkamagaluru,Lakkavalli PS,13.71413,75.69006,501
Hubballi Dharwad City,Keshavapur PS,15.36325,75.15782,501
Kalaburagi City,Ashoknagar PS,17.32109,76.81195,501
Tumakuru,Y.N. Hosakote PS,14.2444,77.18688,501
Bengaluru City,Kempegowda Nagar PS,12.93966,77.55776,500
Haveri,Shiggaon PS,15.00424,75.238,500
Vijayapur,Kalkeri PS,16.70837,76.33782,500
Davanagere,Hadadi PS,14.35012,75.90969,498
Shivamogga,Shivamogga West Traffic PS,13.93397,75.56017,498
Udupi,Kundapura Traffic PS,13.61342,74.69972,498
Bengaluru City,J.C. Nagar PS,12.99852,77.58277,496
Belagavi City,Belgaum South Traffic PS,15.84342,74.50563,495
Dakshina Kannada,Bantwala Town PS,12.87848,75.03555,493
Uttara Kannada,Banavasi PS,14.60972,74.99075,492
Bidar,Bhalki Town PS,18.0463,77.21544,491
Bidar,Chitaguppa PS,17.69256,77.18182,491
Kodagu,Madikeri Rural PS,12.382,75.67893,490
Tumakuru,Honnavalli PS,13.3245,76.42883,490
Vijayapur,Zalaki PS,17.29299,75.82561,490
Koppal,Tavaregera PS,15.78151,76.3769,489
Uttara Kannada,Dandeli Town PS,15.24996,74.62022,489
Dharwad,Annigeri PS,15.42926,75.40134,488
K.G.F,Robertsonpet  PS,12.95778,78.27656,488
Koppal,Hanumasagar PS,15.86577,75.99304,488
Udupi,Karkala Rural PS,13.20019,74.9834,488
Mysuru Dist,Bannur PS,12.32977,76.86047,487
Kodagu,Virajpet Town PS,12.19478,75.79676,486
Bengaluru City,Mahalakshmipuram PS,13.20582,77.48602,485
Tumakuru,Nonavinakere PS,13.17596,76.5218,485
Tumakuru,Tiptur Rural PS,13.25514,76.47842,484
Mangaluru City,Mangalore North PS,12.86946,74.83836,483
Bagalkot,Kerur PS,16.04517,75.53197,480
Bengaluru City,HSR Lay Out Traffic PS,12.91409,77.65114,480
Haveri,Byadagi PS,14.59406,75.44889,479
Mangaluru City,Konaje PS,12.77695,74.88551,479
Tumakuru,Tumakuru Women PS,13.30844,76.91557,479
Vijayapur,Managuli PS,16.64952,75.82839,479
Bengaluru City,Yeshwanthapura PS,13.02553,77.55093,478
Bengaluru City,Ramamurthy Nagar PS,13.01455,77.56927,475
Hubballi Dharwad City,Kasabapeth PS,15.34569,75.15461,475
Bidar,Gandhi Gunj PS,17.87121,77.50583,474
Bidar,Manna Ekhelli PS,17.71633,77.32719,474
Belagavi Dist,Nippani Town PS,16.39259,74.38048,473
Shivamogga,Bhadravathi Rural PS,13.77192,75.64922,472
Chikkamagaluru,Lingadahalli PS,13.5976,75.81022,470
Bengaluru City,Upparpet PS,12.9713,77.55985,469
Tumakuru,Chandrashekarpura PS,13.16362,76.90715,468
Udupi,Udupi Town PS,13.3404,74.74579,468
Hassan,Dudda PS,13.08515,76.20314,467
Haveri,Ranebennur Town PS,14.59234,75.60341,466
Mangaluru City,Urva PS,12.80853,74.75445,466
Belagavi City,Tilakwadi PS,15.82425,74.51248,465
Tumakuru,New Extention PS,13.33432,77.11936,464
Ramanagara,Harohalli PS,12.68011,77.47023,463
Udupi,Karkala Town PS,13.22484,74.93935,463
Gadag,Betageri  PS,15.44738,75.6494,461
Uttara Kannada,Bhatkal Town PS,13.99475,74.54957,460
Bengaluru City,Whitefield CEN Crime PS,12.93286,77.64412,459
Mangaluru City,Kavoor PS,12.92165,74.85257,458
Raichur,Turvihal PS,15.78425,76.62866,458
Kalaburagi City,MB Nagar PS,17.33076,76.85501,457
Raichur,Manvi PS,15.92555,77.03208,457
Udupi,Udupi Traffic PS,13.34524,74.73946,456
Mangaluru City,Kankanady Town PS,12.8737,74.87851,452
Yadgir,Yadgiri Rural PS,16.69288,77.16657,450
Belagavi City,Shahapura PS,15.83001,74.51455,448
Belagavi Dist,Nippani Rural PS,16.46676,74.34227,447
Chikkamagaluru,Chickmagalur Traffic PS,13.31975,75.76742,446
K.G.F,Andersonpet  PS,12.92765,78.28898,446
Udupi,Udupi CEN Crime PS,13.38813,74.77907,446
Vijayapur,Chadachan PS,17.30325,75.67895,445
Kodagu,Ponnampet PS,12.14209,75.97718,444
Mangaluru City,Mulki PS,13.07485,74.80274,444
Dakshina Kannada,Punjalkatte PS,12.9381,75.17072,443
Hubballi Dharwad City,Bendigeri PS,15.33543,75.15261,443
Shivamogga,Sagar Town PS,14.16299,75.03991,442
Uttara Kannada,Karwar Town PS,14.81621,74.13117,439
Hubballi Dharwad City,Hubballi Town PS,15.34691,75.14559,438
Kolar,Kolar Rural PS,13.19725,78.17482,438
Davanagere,Basavapatna PS,14.2002,75.77935,433
Mysuru Dist,Bilikere PS,12.34236,76.42405,432
Mysuru City,Nazarbad PS,12.3006,76.53578,431
Belagavi Dist,Nesargi PS,15.90303,74.76615,430
Davanagere,Davanagere South Traffic PS,14.44921,75.91268,430
Yadgir,Kembhavi PS,16.6369,76.54292,430
Chamarajanagar,Chamarajanagar East PS,11.77862,77.01369,428
Vijayapur,Jalanagar PS,16.79999,75.72691,427
Bengaluru City,Central CEN Crime PS,12.75432,77.48512,426
Mysuru Dist,Periyapatna PS,12.33295,76.1024,426
Vijayapur,Kolhar PS,16.46998,75.71559,424
Uttara Kannada,Sirsi New Market PS,14.62272,74.84206,423
Bengaluru City,Beguru PS,12.71548,77.4841,422
Dakshina Kannada,Uppinangadi PS,12.83793,75.36049,422
Haveri,Haveri Rural PS,14.81398,75.39745,422
Bagalkot,Hungunda PS,16.10148,76.04861,421
Bengaluru City,Sampangiramanagar PS,12.94046,77.57796,421
Udupi,Shirva PS,13.23355,74.80182,421
Gadag,Naregal PS,15.60029,75.78052,420
Belagavi Dist,Doddawad PS,15.68901,74.9145,418
Mandya,Pandavapura PS,12.50463,76.66097,418
Tumakuru,Handanakere PS,13.49237,76.47071,414
Bagalkot,Banahatti PS,16.46145,75.16841,413
Bagalkot,Lokapur PS,16.18716,75.33089,413
Belagavi Dist,Ankali PS,16.53782,74.66981,412
Dakshina Kannada,Bantwala Traffic PS,12.88266,75.03302,412
Bengaluru City,Yelahanka Traffic PS,13.13951,77.53168,411
Shivamogga,Kumsi PS,14.04156,75.41508,411
Mysuru City,Mysuru City Women PS,12.31583,76.65571,410
Tumakuru,Badavanahalli PS,13.69212,77.09201,407
Haveri,Ranebennur Rural PS,14.65772,75.6454,402
Bengaluru City,Yelahanka PS,13.10503,77.60123,400
Vijayapur,Adarsh Nagar PS,16.85565,75.71471,400
Koppal,Koppal Town PS,15.34845,76.18087,399
Bagalkot,Navanagara PS,16.16178,75.659,398
Bidar,Humnabad Traffic PS,17.78039,77.13013,398
Mysuru City,Alanahally PS,12.299,76.70335,398
Tumakuru,Medigeshi PS,13.81196,77.22617,398
Kalaburagi City,Kalaburagi City Women PS,17.32298,76.81128,397
Mysuru Dist,Hullahalli PS,12.05022,76.53356,397
Bengaluru Dist,Bengaluru Dist Women PS,13.3073,77.51299,395
Hubballi Dharwad City,APMC Navanagar,15.39109,75.08891,395
Dakshina Kannada,Sullia PS,12.5635,75.39852,394
Mangaluru City,Panambur PS,12.92183,74.81674,394
Raichur,Hutti PS,16.17051,76.50709,394
Bengaluru City,Bommanahalli PS,12.89555,77.6108,392
Davanagere,Bilichodu PS,14.51465,76.21104,392
