Sl. No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
644,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),CSAM (Child Pornography). Cyber Tip Line,11,0,5,0
645,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Online Money Transfer,423,6,117,101
646,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Credit Card Fraud,246,6,64,48
647,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Loan App,70,1,16,11
648,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Ransomeware Attack, Installing Spyware & Troman, Using Other Malware & Viruses to infect degital serv",3,0,2,1
649,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Gifts, iPhone & Lottery Fraud",54,0,20,12
650,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Deep Fake/Deep Nudes,12,0,5,2
651,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Investment Fraud (Part Time Job, Task, Review)",1023,13,278,232
652,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Card Skimming,5,0,2,1
653,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Job Fraud,219,2,53,64
654,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Business Fraud,51,0,10,15
655,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Hacking of Accounts & Ids,50,4,17,9
656,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Phishing (Taking Password & Information),20,0,8,6
657,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Email Spoofing / Fraud,19,0,5,3
658,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),SIM card Swapping / SIM Jacking / SIM Cloning,1,0,1,0
659,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Social Media Cases (Instagram/Facebook/Whatsapp/X /Telegram etc),150,4,33,42
660,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"Crypto Currency, Bitcoin, etc.",40,1,15,5
661,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Remote Access Fraud  (Any Desk/ Team Viewer),2,0,0,0
662,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),OLX Fraud,68,0,24,13
663,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Data Theft,24,0,3,7
664,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Fedex,21,2,4,2
665,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),"OTP Frauds (KYC Update, Apk Link)",234,3,67,46
666,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Matrimony Fraud,34,0,7,7
667,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Sextortion and Revenge Porn,39,0,14,12
668,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Advertising Frauds,17,0,3,6
669,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Investment Fraud (Trading & Share Trading),1182,8,306,204
670,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Fake Customer Care,101,0,27,15
671,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),ATM Fraud,9,0,0,1
672,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Digital Arrest,120,0,16,11
673,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),AEPS (Aadhaar),0,0,0,0
674,B - SPECIAL & LOCAL LAWS,CYBER CRIME (INFORMATION TECHNOLOGY ACT),Others ,545,24,121,112
675,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0
676,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,2,0,0,1
677,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,4,0,1,0
678,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,1,0,0,1
679,B - SPECIAL & LOCAL LAWS,POCSO,Rape,972,267,251,211
680,B - SPECIAL & LOCAL LAWS,POCSO,Others ,390,88,116,96
681,B - SPECIAL & LOCAL LAWS,Aadhar Act,Offence by Company,0,0,0,0
682,B - SPECIAL & LOCAL LAWS,Aadhar Act,Impersonation,0,0,0,0
683,B - SPECIAL & LOCAL LAWS,Aadhar Act,Offence by Individual,1,0,1,0
684,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,0,0,0,0
685,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,5,1,1,2
686,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,312,56,95,77
687,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,1940,612,545,486
688,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,34,9,12,10
689,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,127,12,27,43
690,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,1,0,0,0
691,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,4,1,3,1
692,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,134,40,28,40
693,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,0,0,0,0
694,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,9,1,2,2
695,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,360,71,88,98
696,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,1,0,0,1
697,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,44,10,9,14
698,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,946,212,253,248
699,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,60,13,11,21
700,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,95,12,32,12
701,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,0,0,0,0
702,C. CRIMES AGAINST WOMEN,Pornography,NA,1,0,1,0
703,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,46,16,12,13
704,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,11,0,4,2
705,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,1456,454,372,324
706,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,2,0,0,0
707,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0
708,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,22,2,10,6
709,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,1393,280,355,447
710,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,3,1,0,0
711,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0
712,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,1,0,1,0
713,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0
714,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,1,0,1,0
715,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0
716,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,0,0,0,0
717,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,8,4,3,2
718,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0
719,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,53,17,14,18
720,D.CRIME AGAINST CHILDREN,POCSO Act,NA,1369,355,368,309
721,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,7,2,4,3
722,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,65,25,31,8
723,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,20,7,2,2
724,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,0,0,0,0
725,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,28,12,6,4
726,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,NA,51,12,16,15
727,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,NA,51,10,19,4
728,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,NA,0,0,0,0
729,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,616,157,161,163
